concept	facet	property	facet_property	cluster_label
race	participate	swim	participate: swim	13
diving	activity	swimming	activity: swimming	13
swimmer	activity	swimming	activity: swimming	13
aquatics	category	swimming	category: swimming	13
synchronized swimming	rules	swimmers must stay together	rules: swimmers must stay together	13
sailing	activity	water	activity: water	13
swimmer	activity	water	activity: water	13
swimmer	activity	pool	activity: pool	13
swimmer	activity	competitive swimming	activity: competitive swimming	13
diving	physical demands	swimming	physical demands: swimming	13
water polo	physical demands	swimming	physical demands: swimming	13
modern pentathlon	events	swimming	events: swimming	13
triathlon	events	swimming	events: swimming	13
summer games	events	swimming	events: swimming	13
summer sport	physical activity	swimming	physical activity: swimming	13
pursuit	types	career	types: career	14
women's team	level	professional	level: professional	14
equestrian	level	professional	level: professional	14
athletics	level	professional	level: professional	14
hockey	level	professional	level: professional	14
triathlon	level	professional	level: professional	14
figure skating	level	professional	level: professional	14
skating	level	professional	level: professional	14
gymnast	level	professional	level: professional	14
men's team	level	professional	level: professional	14
cycling	level	professional	level: professional	14
synchronized swimming	level	professional	level: professional	14
alpine combined	level	professional	level: professional	14
ice dancing	level	professional	level: professional	14
participates in	level	professional	level: professional	14
athlete	professional aspects	getting endorsements	professional aspects: getting endorsements	14
pursuit	types	professional	types: professional	14
pursuit	time commitment	part-time	time commitment: part-time	14
women's team	type	professional	type: professional	14
wrestling	type	professional	type: professional	14
men's team	type	professional	type: professional	14
pursuit	examples	pursuing a career	examples: pursuing a career	14
diving	level of expertise	professional	level of expertise: professional	14
athlete	professional aspects	receiving sponsorships	professional aspects: receiving sponsorships	14
equestrian	skill level	professional	skill level: professional	14
gymnast	skill level	professional	skill level: professional	14
floor exercise	skill level	professional	skill level: professional	14
swimmer	skill level	professional	skill level: professional	14
athletics	skill level	professional	skill level: professional	14
windsurfer	skill level	professional	skill level: professional	14
pursuit	activity	job	activity: job	14
all-rounder	professional career	successful	professional career: successful	14
pursuit	type	career	type: career	14
wrestling	style	professional	style: professional	14
triathlon	participants	professionals	participants: professionals	14
alpine skiing	participants	professionals	participants: professionals	14
skating	activity level	professional	activity level: professional	14
pursuit	example	pursuing a career	example: pursuing a career	14
all-rounder	professional career	long-lasting	professional career: long-lasting	14
pursuit	activity type	job	activity type: job	14
pursuit	scope	professional	scope: professional	14
pursuit	time commitment	full-time	time commitment: full-time	14
swimmer	occupation	professional	occupation: professional	14
skating	participant	professional	participant: professional	14
cycling	participant	professional	participant: professional	14
snowboard	used by	professional	used by: professional	14
men's team	division	professional	division: professional	14
all-round	context	career	context: career	14
synchronized swimming	type	aquatic sport	type: aquatic sport	15
synchronized swimming	definition	aquatic sport	definition: aquatic sport	15
synchronized springboard	sport	water	sport: water	15
water polo	sport	water	sport: water	15
diving	water sport	recreational activity	water sport: recreational activity	15
diving	water sport	competitive sport	water sport: competitive sport	15
diving	sport	water sport	sport: water sport	15
windsurfer	sport	water sport	sport: water sport	15
aquatics	uses	water sports	uses: water sports	15
synchronized springboard	sport	aquatic sport	sport: aquatic sport	15
dinghy	activities	water sports	activities: water sports	15
swimmer	activity	water sport	activity: water sport	15
diving	activity	water sport	activity: water sport	15
sailing	activity	water sport	activity: water sport	15
windsurfer	activity	water sport	activity: water sport	15
water polo	sport	water-based	sport: water-based	15
water polo	type	aquatic sport	type: aquatic sport	15
synchronized springboard	type	aquatic sport	type: aquatic sport	15
heavyweight dinghy	activity	rowing	activity: rowing	15
synchronized springboard	activity	water sports	activity: water sports	15
windsurfer	activity	water sports	activity: water sports	15
diving	water sport	competitive	water sport: competitive	15
sailing	activity type	water sport	activity type: water sport	15
diving	sport	underwater	sport: underwater	15
synchronized springboard	activity	aquatic sport	activity: aquatic sport	15
diving	water sport	physical exercise	water sport: physical exercise	15
triathlon	sport	triathlon	sport: triathlon	15
dinghy	use	water sports	use: water sports	15
water polo	type	water sport	type: water sport	15
synchronized swimming	type	water sport	type: water sport	15
synchronized springboard	type	water sport	type: water sport	15
sailing	type	water sport	type: water sport	15
swimmer	activity	aquatic sports	activity: aquatic sports	15
swimmer	profession	water sport	profession: water sport	15
aquatics	activities	surfing	activities: surfing	15
diving	water sport	recreational	water sport: recreational	15
springboard	purpose	water sports	purpose: water sports	15
synchronized springboard	sport	aquatic	sport: aquatic	15
synchronized swimming	sport	aquatic	sport: aquatic	15
water polo	sport	aquatic	sport: aquatic	15
sailing	activity type	outdoor activity	activity type: outdoor activity	16
cross country skiing	activity type	outdoor activity	activity type: outdoor activity	16
skiing	activity type	outdoor activity	activity type: outdoor activity	16
skating	activity	outdoor activity	activity: outdoor activity	16
cycling	activity	outdoor activity	activity: outdoor activity	16
windsurfer	activity	outdoor activity	activity: outdoor activity	16
fencing	activity	hiking	activity: hiking	16
skiing	activity	outdoor	activity: outdoor	16
downhill	activity	hiking	activity: hiking	16
sailing	activity	outdoor	activity: outdoor	16
windsurfer	activity	outdoor recreation	activity: outdoor recreation	16
beach volleyball	type	summer activity	type: summer activity	16
pursuit	activity type	lifestyle	activity type: lifestyle	16
downhill	sports	hiking	sports: hiking	16
cross country skiing	type	outdoor activity	type: outdoor activity	16
skiing	type	outdoor activity	type: outdoor activity	16
archery	activity	outdoor	activity: outdoor	16
walk	activity	outdoor	activity: outdoor	16
cycling	activity type	outdoor	activity type: outdoor	16
fencing	type	activity	type: activity	16
cycling	activity	outdoor	activity: outdoor	16
walk	type	hiking	type: hiking	16
downhill	type	hiking	type: hiking	16
sailing	objective	enjoying scenery	objective: enjoying scenery	16
pursuit	definition	goal-oriented activity	definition: goal-oriented activity	16
fencing	activity	camping	activity: camping	16
aquatics	characteristics	gills	characteristics: gills	17
aquatics	adaptations	gills	adaptations: gills	17
aquatics	adaptations	fins	adaptations: fins	17
synchronized swimming	equipment	flippers	equipment: flippers	17
swimmer	equipment	flippers	equipment: flippers	17
diving	equipment	fins	equipment: fins	17
aquatics	features	fin	features: fin	17
diving	equipment	flippers	equipment: flippers	17
swimmer	equipment	fins	equipment: fins	17
aquatics	adaptations	scales	adaptations: scales	17
synchronized swimming	equipment	fins	equipment: fins	17
biathlon	equipment	shells	equipment: shells	18
aquatics	features	shell	features: shell	18
aquatics	adaptations	shell	adaptations: shell	18
air rifle	ammunition	pellets	ammunition: pellets	19
rapid fire pistol	ammunition	bullet	ammunition: bullet	19
air rifle	ammunition	airsoft	ammunition: airsoft	19
air rifle	ammunition	bbs	ammunition: bbs	19
air rifle	ammunition	screws	ammunition: screws	19
rapid fire pistol	ammunition	bullets	ammunition: bullets	19
air rifle	components	barrel	components: barrel	19
air pistol	components	ammunition	components: ammunition	19
air pistol	components	barrel	components: barrel	19
biathlon	equipment	ammo	equipment: ammo	19
rapid fire pistol	ammunition	cartridges	ammunition: cartridges	19
rapid fire pistol	ammunition	round	ammunition: round	19
butterfly	category	winged	category: winged	20
butterfly	features	wings	features: wings	20
butterfly	shape	winged	shape: winged	20
butterfly	appearance	winged	appearance: winged	20
butterfly	physical characteristics	colorful wings	physical characteristics: colorful wings	20
butterfly	physical characteristics	transparent wings	physical characteristics: transparent wings	20
butterfly	body parts	wings	body parts: wings	20
butterfly	physical characteristics	delicate wings	physical characteristics: delicate wings	20
butterfly	unique feature	wings	unique feature: wings	20
butterfly	behavior	feeds on nectar	behavior: feeds on nectar	20
butterfly	appearance	wings	appearance: wings	20
pairs	example	wings	example: wings	20
butterfly	physical characteristics	wings	physical characteristics: wings	20
synchronized platform	applications	databases	applications: databases	21
synchronized platform	implementation	database-driven	implementation: database-driven	21
synchronized platform	application	file systems	application: file systems	21
synchronized platform	application	databases	application: databases	21
synchronized platform	industry	gaming	industry: gaming	22
pairs	use	for creating games	use: for creating games	22
synchronized platform	applications	game development	applications: game development	22
synchronized platform	application	multi-user games	application: multi-user games	22
rhythmic gymnastics	performance elements	expression	performance elements: expression	23
ice dancing	element of	artistic expression	element of: artistic expression	23
rhythmic gymnastics	artistic aspects	costume design	artistic aspects: costume design	23
rhythmic gymnastics	artistic aspects	interpretation	artistic aspects: interpretation	23
rhythmic gymnastics	artistic aspects	expression	artistic aspects: expression	23
fencing	purpose	aesthetic	purpose: aesthetic	23
synchronized swimming	demonstrates	artistic expression	demonstrates: artistic expression	23
snowboard cross	rider characteristics	bravery	rider characteristics: bravery	24
luge	physical demands	bravery	physical demands: bravery	24
snowboard cross	rider skills	courage	rider skills: courage	24
luge	athletes	bravery	athletes: bravery	24
medal winners	motivation	national pride	motivation: national pride	24
pole vault	athletes	jumpers	athletes: jumpers	25
pole vault	athletes	jumps	athletes: jumps	25
high jump	competitors	jumpers	competitors: jumpers	25
athletics	participant roles	jumper	participant roles: jumper	25
high jump	athletes	jumpers	athletes: jumpers	25
pole vault	athletes	vaulter	athletes: vaulter	25
athletics	competitor	jumper	competitor: jumper	25
track and field	athletes	runners	athletes: runners	25
track and field	athletes	throwers	athletes: throwers	25
track and field	athletes	jumpers	athletes: jumpers	25
high jump	athletes	long jumpers	athletes: long jumpers	25
high jump	athletes	pole vaulters	athletes: pole vaulters	25
high jump	athletes	high jumpers	athletes: high jumpers	25
javelin throw	athletes	throwers	athletes: throwers	25
men's team	players	athletes	players: athletes	26
team	role	team member	role: team member	26
individual	goals	can set goals	goals: can set goals	26
triple jump	athletes	part of a team	athletes: part of a team	26
all-rounder	characteristics	team player	characteristics: team player	26
men's team	members	athletes	members: athletes	26
medal winners	background	team player	background: team player	26
men's team	team members	athletes	team members: athletes	26
medal winners	individual	team member	individual: team member	26
women's team	players	team-oriented	players: team-oriented	26
gymnastics team competition	athletes	team members	athletes: team members	26
men's team	members	team members	members: team members	26
gymnastics team competition	athletes	team captains	athletes: team captains	26
men's team	team members	players	team members: players	26
women's team	members	team players	members: team players	26
participates in	role	team member	role: team member	26
wrestling	participants	wrestlers	participants: wrestlers	27
wrestling freestyle	athletes	freestyle wrestlers	athletes: freestyle wrestlers	27
wrestling freestyle	athletes	wrestlers	athletes: wrestlers	27
wrestling	competitors	wrestler	competitors: wrestler	27
alpine skiing	participants	athletes	participants: athletes	28
giant slalom	participants	athletes	participants: athletes	28
biathlon	athletes	amateurs	athletes: amateurs	28
decathlon	participants	athletes	participants: athletes	28
marathon	participants	athletes	participants: athletes	28
luge	participants	athletes	participants: athletes	28
team event	participants	athletes	participants: athletes	28
medal winners	category	athletes	category: athletes	28
winter games	participants	athletes	participants: athletes	28
triathlon	athletes	amateurs	athletes: amateurs	28
hammer throw	athletes	men	athletes: men	28
olympic sport	competitors	athletes	competitors: athletes	28
synchronized springboard	competitors	athletes	competitors: athletes	28
track and field	competitors	athletes	competitors: athletes	28
wrestling	participants	competitors	participants: competitors	28
alpine skiing	participants	competitors	participants: competitors	28
all-rounder	examples	athletes	examples: athletes	28
snowboard cross	participants	athletes	participants: athletes	28
wrestling	participants	fighters	participants: fighters	28
synchronized springboard	participants	athletes	participants: athletes	28
gymnastics team competition	participants	athletes	participants: athletes	28
modern pentathlon	participants	athletes	participants: athletes	28
high jump	competitors	athletes	competitors: athletes	28
triathlon	athletes	triathletes	athletes: triathletes	28
skeet	participants	professional shooters	participants: professional shooters	28
gymnastics team competition	athletes	competitors	athletes: competitors	28
super g	athletes	amateurs	athletes: amateurs	28
giant slalom	competitors	amateur athletes	competitors: amateur athletes	28
triathlon	competitors	amateurs	competitors: amateurs	28
decathlon	participants	track and field athletes	participants: track and field athletes	28
super g	participants	athletes	participants: athletes	28
triathlon	competitors	athletes	competitors: athletes	28
athletics	competitor	athlete	competitor: athlete	28
athletics	competitor	thrower	competitor: thrower	28
triathlon	competitors	triathletes	competitors: triathletes	28
triathlon	participants	athletes	participants: athletes	28
summer games	participants	athletes	participants: athletes	28
bobsleigh	participants	athletes	participants: athletes	28
race	participants	athletes	participants: athletes	28
olympic sport	participants	athletes	participants: athletes	28
medal winners	category	competitors	category: competitors	28
wrestling	participants	athletes	participants: athletes	28
summer games	athletes participating	10,000+	athletes participating: 10,000+	29
hammer throw	athletes	women	athletes: women	29
hammer throw	athletes	olympic athletes	athletes: olympic athletes	29
long jump	athletes	olympic athletes	athletes: olympic athletes	29
luge	athletes	olympic	athletes: olympic	29
ski jumping	athletes	olympic champions	athletes: olympic champions	29
javelin throw	athletes	track and field athletes	athletes: track and field athletes	29
alpine combined	competitors	olympic athletes	competitors: olympic athletes	29
pole vault	athletes	track and field athletes	athletes: track and field athletes	29
hammer throw	athletes	strong throwers	athletes: strong throwers	29
triple jump	athletes	compete individually	athletes: compete individually	29
pole vault	athletes	clears	athletes: clears	29
figure skating	events	competing in olympics	events: competing in olympics	29
decathlon	athletes	multisport athletes	athletes: multisport athletes	29
decathlon	athletes	track and field athletes	athletes: track and field athletes	29
gymnast	skill level	olympian	skill level: olympian	29
ski jumping	athletes	olympic athlete	athletes: olympic athlete	29
summer games	participants	athletes from different countries	participants: athletes from different countries	29
winter games	participants	athletes from different countries	participants: athletes from different countries	29
long jump	athletes	world champions	athletes: world champions	29
hammer throw	athletes	track and field athletes	athletes: track and field athletes	29
gymnastics team competition	athletes	individual	athletes: individual	29
olympic sport	olympic history	featured in multiple games	olympic history: featured in multiple games	29
mass start	participant	olympic athlete	participant: olympic athlete	29
pole vault	athletes	athletes with exceptional strength	athletes: athletes with exceptional strength	29
giant slalom	athletes involved	olympic athletes	athletes involved: olympic athletes	29
summer games	athletes participating	thousands	athletes participating: thousands	29
super g	athletes	fast	athletes: fast	29
long jump	athletes	fast	athletes: fast	29
tennis	player	athlete	player: athlete	29
medal winners	individual	athlete	individual: athlete	29
pole vault	athletes	olympic champions	athletes: olympic champions	29
biathlon	athletes	professionals	athletes: professionals	30
water polo	players	athletic	players: athletic	30
modern pentathlon	athletes	professional athletes	athletes: professional athletes	30
hammer throw	athletes	technically skilled	athletes: technically skilled	30
triple jump	athletes	require speed	athletes: require speed	30
high jump	athletes	newcomers	athletes: newcomers	30
luge	athletes	adventurous	athletes: adventurous	30
modern pentathlon	athletes	adventurous	athletes: adventurous	30
decathlon	athletes	multitaskers	athletes: multitaskers	30
decathlon	athletes	specialized in multiple events	athletes: specialized in multiple events	30
modern pentathlon	athletes	multi-talented	athletes: multi-talented	30
nordic combined	athletes	highly trained	athletes: highly trained	30
long jump	athletes	highly trained	athletes: highly trained	30
decathlon	athletes	multi-talented athletes	athletes: multi-talented athletes	30
all-round	examples	athlete	examples: athlete	30
triathlon	athletes	professionals	athletes: professionals	30
super g	athletes	professionals	athletes: professionals	30
decathlon	athletes	multi-event specialists	athletes: multi-event specialists	30
ski jumping	athletes	professional	athletes: professional	30
biathlon	athletes	professional	athletes: professional	30
luge	athletes	professional	athletes: professional	30
nordic combined	athletes	professional	athletes: professional	30
olympic sport	athletes	professional	athletes: professional	30
triple jump	athletes	require strength and speed	athletes: require strength and speed	30
nordic combined	athletes	norwegian	athletes: norwegian	30
nordic combined	athletes	austrian	athletes: austrian	30
triathlon	athlete type	amateur	athlete type: amateur	30
medal winners	athlete	amateur	athlete: amateur	30
gymnastics team competition	requirements	athletes must meet specific age and qualification requirements	requirements: athletes must meet specific age and qualification requirements	30
long jump	athletes	specialized	athletes: specialized	30
all-round	applied to	athlete	applied to: athlete	30
biathlon	athletes	amateur	athletes: amateur	30
medal winners	athlete characteristics	inexperienced	athlete characteristics: inexperienced	30
all-rounder	person	sportsman	person: sportsman	30
super g	athletes	skilled	athletes: skilled	30
nordic combined	athletes	amateur	athletes: amateur	30
olympic sport	athletes	amateur	athletes: amateur	30
triple jump	athletes	require mental toughness	athletes: require mental toughness	30
modern pentathlon	athletes	multiskilled	athletes: multiskilled	30
