facet_property	cluster_label
alcohol content: none	20
alcohol content: at least 37.5%	20
alcohol content: 40% to 95%	20
alcohol content: non-alcoholic	20
alcohol content: 5%	20
alcohol content: average	20
alcohol content: typically 10-20%	20
alcohol content: zero	20
alcohol content: variable	20
alcohol content: 40%	20
alcohol content: typically around 15%	20
alcohol content: varies by brand	20
alcohol content: 0%	20
alcohol content: 10-12%	20
alcohol content: 12% to 15%	20
alcohol content: 40% to 60%	20
alcohol content: moderate	20
alcohol content: 13%	20
alcohol content: 40% or higher	20
alcohol content: 12-14%	20
alcohol content: at least 37% abv	20
alcohol content: trace amount	20
alcohol content: low-alcoholic	20
alcohol content: usually 40%	20
type: alcohol	20
chemical properties: alcohol content	20
alcohol content: 40% abv	20
alcohol content: strong	20
alcohol content: high	20
alcohol content: typically 40%	20
alcohol content: low	20
alcohol content: medium	20
alcohol content: weak	20
alcohol content: percentage	20
alcohol content: typically 5%	20
alcohol content: potent	20
alcohol content: 12% to 14%	20
alcohol content: 50% abv	20
alcohol content: 60% abv	20
alcohol content: 20-30%	20
alcohol content: typically 15-20%	20
alcohol content: varies	20
category: alcoholic beverage ingredient	21
alcoholic content: does not contain alcohol	21
flavor: alcoholic	21
smell: alcoholic	21
types: alcoholic	21
texture: bubbly	21
category: alcoholic beverage	21
taste: alcoholic	21
alcohol content: high-alcoholic	21
alcoholic content: strong	21
alcoholic content: usually 40%	21
alcoholic content: 40% abv	21
alcoholic content: 40%	21
alcoholic content: varies depending on brand	21
alcoholic content: 40% to 95%	21
alcoholic content: high percentage	21
alcoholic content: less than 0.5%	21
alcoholic content: usually 37.5%	21
alcoholic content: usually 40% abv	21
alcoholic content: 12% to 15%	21
alcoholic content: low	21
alcoholic content: medium	21
alcoholic content: 0% abv	21
alcoholic content: 15% to 22%	21
alcoholic content: usually low	21
alcoholic content: 15% to 20%	21
alcoholic content: usually low to moderate	21
alcoholic content: no ethanol	21
alcoholic content: varies	21
alcoholic content: high	21
alcoholic content: 40% to 50%	21
alcoholic content: strong punch	21
alcoholic content: typically 10-20%	21
alcoholic content: potent	21
alcoholic content: variable	21
alcoholic content: typically low	21
alcoholic content: usually 35% to 40%	21
alcoholic content: can be flavored	21
alcoholic content: typically 37.5%	21
category: alcoholic	21
alcoholic content: contains alcohol	21
alcoholic content: zero	21
alcoholic content: negligible	21
alcoholic content: less than beer	21
alcoholic content: potable	21
alcoholic content: typically 4-6%	21
alcoholic content: 13% to 15%	21
often paired with: honey	22
typical accompaniments: honey	22
components: honey	22
material: honey	22
pair with: honey	22
type: honeydew	22
types: honey syrup	22
sources: honey	22
types: honey	22
ingredient: honey	22
ingredients used: honey	22
common accompaniments: honey	22
similar to: honey	22
examples: honey	22
pairing: honey	22
contents: honey	22
associated with: honey	22
substitutes for: honey	22
brand: honey bunches	22
alternative: honey	22
main ingredients: honey	22
alternatives to: honey	22
commonly paired with: honey	22
shelf life: longer than honey	22
alternatives: honey	22
coating: honey	22
type: type of honey	22
used ingredients: honey	22
definition: chinese term for 'honey'	22
products: honey	22
substitutes: honey	22
brand: honey maid	22
main ingredient: honey	22
common pairing: honey	22
brand: honeycomb	22
origin: honey	22
ingredients: honey	22
usage: with honey	22
commonly used with: honey	22
brand: honey bunches of oats	22
brand: honey	22
association: honey	22
example: honey	22
alternative names: italian curved knife	23
characteristic: serrated edge	23
category: cutting tool	23
type: knife	23
blade shape: curved	23
alternative names: semi-circular chopper	23
alternative names: curved blade	23
characteristic: curved blade	23
type: dagger	23
alternative name: moon-shaped cutter	23
shape: blade	23
alternative name: curved chopper	23
blade shape: straight	23
amount: small	24
amount: fixed	24
amount: not too much	24
amount: large	24
amount: limited	24
amount: variable	24
amount: enough	24
in context of: amount	24
amount: not too little	24
ingredients: bones	25
types: skeletal	25
type: skeletal system	25
comprises of: bones	25
source: animal bones	25
definition: skeletal system	25
anatomy: bone	25
location: spine	25
origin: t-bone	25
comprising: bones	25
classification: animal	26
source: carnivore	26
appearance: sharp claws	26
type: canine	26
category: animal	26
origin: wild ancestor	26
origin: mammal	26
behavior: active at night	26
animal: mammal	26
animal: large mammal	26
animal: howler monkey	26
category: mammal	26
type: animals	26
origin: carnivore	26
origin: omnivore	26
uniform: uniform	27
appearance: uniform	27
opposite: uniform	27
uniform: khaki	27
antonyms: uniform	27
smell: fragrant	28
appearance: fragrant leaves	28
properties: fragrant	28
associated with: warm memories	28
taste: fragrant	28
appearance: sweetly fragrant	28
appearance: floral	28
characteristics: fragrant	28
leaves: fragrant	28
preparation: fragrant	28
attributes: fragrant	28
flavor: fragrant	28
characteristic: fragrant	28
category: fragrant	28
scent: fragrant	28
properties after baking: fragrant	28
appearance: fragrant	28
features: fragrant leaves	28
chemical compound: fragrant	28
color: fragrant	28
texture: fragrant	28
appearance: red or yellow color	29
appearance: red ribbon	29
appearance: red or purple color	29
description: red	29
appearance: red or orange color	29
shape: red	29
appearance: red	29
appearance: red or yellow	29
appearance: red-orange	29
common colours: red	29
characteristics: red color	29
appearance: red and gold	29
appearance: red color	29
type: red	29
colour: red	29
appearance: red, yellow, or green	29
material: red	29
appearance: red and green	29
appearance: red or brown color	29
color: red	29
appearance: red or reddish-brown	29
types: red	29
color: red and white	29
category: long and thin	30
appearance: long and slender	30
appearance: long, thin, green	30
size: long and thin	30
appearance: short and thick	30
appearance: long	30
type: long and thin	30
appearance: long and thin	30
appearance: long, thin, brown or white	30
characteristics: long and thin	30
characteristics: plump	31
appearance: dimpled	31
suitable for: round face	31
features: cute face	31
appearance: speckled with raisins	31
shape: plump	31
appearance: plump	31
appearance: covered in papery husk	31
characteristics: hairy exterior	32
appearance: hairy exterior	32
physical appearance: hairy	32
unique feature: hairy exterior	32
appearance: hairy	32
appearance: fudgy	32
texture: hairy	32
shape: hairy	32
characteristics: hairy	32
appearance: small purple flowers	33
appearance: blue or white flowers	33
appearance: purple flowers	33
features: has white flowers	33
flowers: white	33
associated with: beauty	33
appearance: fragrant white flowers	33
features: small white flowers	33
appearance: white flowers	33
appearance: small white flowers	33
appearance: greenish-white flowers	33
appearance: blue flowers	33
appearance: white or purple flowers	33
appearance: frilly	33
appearance: pale yellow	34
colour: yellow	34
color: yellow	34
characteristics: yellow	34
appearance: yellow color	34
color: butter yellow	34
appearance: yellow skin	34
appearance: yellow or green	34
color: light yellow	34
appearance: yellow flesh	34
appearance: yellow-green	34
appearance: yellow-orange color	34
color: often yellow	34
color: pale yellow	34
appearance: yellow or orange	34
appearance: yellow	34
type: yellow	34
common colours: yellow	34
appearance: light yellow color	34
appearance: bright yellow color	34
appearance: bright yellow	34
appearance: light yellow	34
taste: crusty	35
appearance: crusty top	35
shape: crusty	35
result: crusty on outside	35
appearance: crusty	35
result: crusty outside	35
type: crusty	35
appearance: crusty surface	35
appearance: crusty exterior	35
texture: crusty	35
texture: crusty outside	35
appearance: crusty outside	35
characteristics: crusty	35
result: crusty	35
properties after baking: crusty	35
category: greens	36
appearance: leafy green	36
main ingredient: leafy greens	36
culinary use: cooked as greens	36
category: green vegetable	36
category: asian greens	36
category: green leafy vegetable	36
main ingredients: spring greens	36
type: leafy	36
category: green leafy	36
used with: greens	36
appearance: leafy texture	36
appearance: leafy greens	36
main ingredient: greens	36
type: leafy vegetables	36
pairing with: leafy greens	36
common ingredients: greens	36
ingredients: greens	36
category: chinese greens	36
main ingredient: leafy green	36
category: leafy green	36
commonly used with: greens	36
definition: type of bushmeat	36
category: leafy greens	36
appearance: asian greens	36
course: greens	36
category: spring vegetable	36
shape: leafy	36
category: leafy vegetable	36
contents: greens	36
type: greens	36
commonly paired with: greens	36
texture: leafy	36
appearance: leafy	36
types: leafy greens	36
type: leafy green	36
category: leafy	36
pairing: with greens	36
shape: braided	37
appearance: braided design	37
appearance: braided shape	37
design: wind-in-the-hair	37
style: curly	37
appearance: curled	37
style: curl	37
appearance: plaited design	37
appearance: braided	37
appearance: knotted	37
shape: braid	37
type: braided	37
preparation method: braided	37
characteristics: bright colors	38
costume: bright colors	38
color: vibrant	38
appearance: bright colors	38
color: light	38
colour: bright	38
colour: vibrant	38
color: bright	38
color: bright colors	38
design: bright colors	38
appearance: bright color	38
appearance: thorny stems	39
structure: spiny	39
appearance: thorny exterior	39
appearance: thorny skin	39
texture: thorny	39
structure: thorny	39
appearance: shrubby	39
appearance: thorny leaves	39
plant: thorny	39
physical characteristics: thorny branches	39
appearance: thorny	39
appearance: thorny branches	39
shape: thorny	39
plant characteristics: thorny stems	39
appearance: spiky	39
plant part: grass	40
origin: grass	40
appearance: tall grass	40
appearance: grass-like	40
category: grass	40
type: ornamental grass	40
similar to: other tall grasses	40
appearance: long grass	40
diet: grasses	40
origin: grass family	40
plant: tall grass	40
found in: fields	40
shape: grass	40
feather color: black	41
physical properties: black	41
type: black	41
color: black	41
appearance: black and white	41
appearance: small black	41
appearance: black	41
physical characteristics: black neck	41
appearance: dark, brown, or black	41
appearance: typically black or dark brown	41
appearance: black color	41
physical properties: transparent	42
color: translucent	42
appearance: semi-translucent	42
material: transparent	42
use: refractory	42
appearance: transparent	42
texture: transparent	42
appearance: translucent	42
chemical properties: transparent	42
texture: translucent	42
appearance: reddish	43
color: reddish	43
appearance: reddish-brown color	43
appearance: reddish-green color	43
color: reddish-brown	43
appearance: reddish-brown	43
color: reddish-green	43
height: tall	44
height: medium	44
appearance: tall and layered	44
appearance: proud	44
characteristics: tall	44
size: tall	44
cut: standing	44
physical appearance: wooden figure	44
appearance: tall	44
height: short	44
shape: tall	44
physical characteristics: medium size	44
characteristics: tall and slender	44
type: fleshy	45
characteristics: soft flesh	45
description: fleshy	45
appearance: red or yellow flesh	45
structure: soft inner core	45
appearance: white or yellow flesh	45
parts used: flesh	45
edible parts: flesh	45
structure: spongy tissue	45
appearance: fleshy	45
texture: soft flesh	45
characteristics: fleshy	45
appearance: thick and fleshy	45
properties: rotatable	45
texture: fleshy	45
appearance: fleshy interior	45
appearance: soft flesh	45
appearance: fizzy	46
type: fizzy water	46
appearance: bubbly	46
texture: fizzy	46
taste: fizzy	46
type: fizzy	46
characteristics: fizzy	46
appearance: drippy	46
common forms: fizzy water	46
properties: has bubbles	46
associated with: fizzy drink	46
texture: carbonated	46
common colours: purple	47
appearance: deep purple	47
appearance: purple	47
appearance: purple skin	47
appearance: purple, green, and gold colors	47
appearance: reddish-purple	47
colour: purple	47
appearance: dark purple	47
color: purple	47
appearance: violet	47
appearance: brown or purple color	47
appearance: branching stems	48
growth habit: ascending	48
appearance: thin, hollow stems	48
appearance: branched	48
growth habit: climbing	48
appearance: bumpy stem	48
appearance: crisp stalks	48
growth habit: growing on a stem	48
appearance: long stems	48
appearance: long stalks	48
appearance: taproot	48
category: tubular root	48
appearance: long stem	48
appearance: stem is short	48
physical characteristics: pendulous branches	48
appearance: delicate stems	48
appearance: stalk-like	48
appearance: tall stalks	48
appearance: long, thin stems	48
appearance: long, thin roots	48
appearance: tall stem	48
appearance: rhizome	48
shape: stemmed	48
appearance: stalky	48
appearance: thin stems	48
appearance: long, thin stalks	48
appearance: short stem	48
appearance: crunchy stems	48
appearance: reddish stems	48
appearance: brown cap	49
parts: cap	49
appearance: cap shape	49
shape: cap-shaped	49
shape: cap	49
description: a small cap	49
appearance: cap is brown	49
appearance: cap-shaped	49
appearance: cap is rounded	49
type: cap	49
structure: sharp	50
appearance: pointed	50
appearance: speared	50
physical characteristic: sharp	50
structure: sharp edges	50
appearance: sharp	50
appearance: needle-like	50
characteristics: ornamented	51
appearance: decorated with fondant	51
appearance: decorated with dried fruit	51
style: covered	51
appearance: decorative	51
visual appeal: arranged neatly	51
appearance: well-decorated	51
appearance: ornamented	51
appearance: highly decorated	51
features: decorated with ribbons	51
features: no decorations	51
appearance: intricately decorated	51
appearance: decorated with sprinkles	51
appearance: decorated	51
appearance: decorated with marzipan	51
appearance: decorated with bones	51
appearance: often decorated with candles	51
appearance: richly decorated	51
appearance: green glaze	52
texture: glazed	52
appearance: richly glazed	52
common flavors: glazed	52
appearance: glazed	52
appearance: topped with glaze	52
taste: glazed	52
appearance: softly glazed	52
preparation: glazed	52
appearance: dark brown	53
physical appearance: brown	53
color: light brown	53
physical properties: dark brown	53
color: dark brown	53
forms: brown	53
characteristics: light brown color	53
appearance: brown	53
distinguishing feature: brown color	53
appearance: brown color	53
hair type: brown	53
characteristics: brown	53
appearance: light brown	53
appearance: dark brown color	53
color: brown	53
appearance: brown and dry	53
type: brown	53
properties: dark brown	53
appearance: delicate frosting	54
appearance: white frosting	54
appearance: red frosting	54
appearance: green frosting	54
appearance: frosted coating	54
features: frosting	54
description: pink or white frosting	54
appearance: velvety frosting	54
appearance: frosting	54
composition: frosting	54
cause: excessive frosting	54
shape: waxy	55
material: waxy	55
texture: effervescent	55
structure: waxy	55
appearance: waxy	55
taste: waxy	55
appearance: waxy texture	55
appearance: foamy	55
physical state: waxy	55
texture: waxy	55
structure: waxy coating	55
appearance: prickly	56
appearance: prickly exterior	56
shape: prickly outside	56
texture: prickly skin	56
shape: prickly	56
shape: prickly skin	56
texture: prickly	56
appearance: prickly outer skin	56
appearance: prickly skin	56
related to: prickly pear	56
shape: prickly exterior	56
structure: prickly	56
texture: pourable	57
texture: thin liquid	57
appearance: thick, reddish-brown liquid	57
similar to: quat	57
result: flavored liquid	57
appearance: thick liquid	57
appearance: thick, dark brown liquid	57
type: thick liquid	57
appearance: dark liquid	57
consistency: thick liquid	57
definition: thick, dark liquid	57
consistency: pourable	57
appearance: greenish-white color	58
appearance: greenish-gray	58
appearance: greenish	58
appearance: greenish color	58
appearance: greenish-yellow	58
color: greenish	58
appearance: greenish-white	58
appearance: greenish-brown	58
appearance: greenish-yellow color	58
appearance: attractive	59
characteristics: alluring	59
characteristics: elegant	59
versatility: suitable for many face shapes	59
appearance: seductive	59
appearance: mouthwatering	59
category: beauty	59
criteria: beauty	59
appearance: unattractive	59
characteristics: attractive	59
appearance: visually appealing	59
appearance: aesthetically pleasing	59
appearance: mixed	59
appearance: appealing	59
appearance: fun	59
appearance: well-presented	59
appearance: sensual	59
appearance: elegant	59
appearance: attractive presentation	59
appearance: presentable	59
appearance: eye-catching	59
behavior: wild	60
found in: wild	60
origin: wild	60
type: wild	60
animal association: wild	60
behavior: roams freely	60
located at: wild	60
characteristic: wild	60
appearance: wild	60
appearance: marbled pattern	61
appearance: marbled	61
characteristics: marbled	61
physical appearance: dirty	61
appearance: fine powder	62
form: powder	62
appearance: powdery	62
physical properties: white powder	62
contents: baking powder	62
type: powder	62
appearance: brown powder	62
forms: powder	62
product form: powder	62
texture: powdery	62
appearance: powder	62
appearance: white powder	62
texture: powdered	62
appearance: mix of powder and liquid	62
ingredients included: baking powder	62
common forms: powder	62
texture: fine powder	62
texture: powder	62
shape: powder	62
material: sand	62
appearance: small, white, powdery	62
package type: powder	62
content: baking powder	62
ingredients: baking powder	62
appearance: dry powder	62
appearance: plain	63
appearance: unusual appearance	63
appearance: non-existent	63
appearance: ugly	63
appearance: unassuming	63
appearance: unappealing	63
appearance: scary	63
appearance: bold	63
appearance: freaky	63
appearance: unusual	63
appearance: irregular	63
appearance: varies depending on species	63
appearance: can be seen from outside	63
application: face	63
appearance: distinctive	63
appearance: unconventional	63
appearance: no description available	63
appearance: showy	63
appearance: invisible	63
appearance: varied	63
appearance: visible	63
appearance: no visual appearance	63
appearance: no visual description available	63
appearance: not a real object	63
appearance: grayish	64
appearance: grayish-green	64
physical characteristics: gray	64
appearance: grayish-brown	64
appearance: grayish-green color	64
appearance: grayish-white	64
color: gray	64
physical characteristics: grayish-brown color	64
appearance: gray	64
appearance: brownish	65
appearance: brownish color	65
appearance: brownish-yellow	65
appearance: brownish-green	65
appearance: brownish-white color	65
texture: slightly fuzzy	66
shape: fuzzy	66
appearance: fuzzy exterior	66
appearance: fuzzy outside	66
color: fuzzy	66
appearance: fuzzy skin	66
texture: fuzzy	66
shape: fuzzy skin	66
appearance: fuzzy	66
appearance: brightly coloured	67
appearance: multi-colored	67
appearance: brightly colored	67
appearance: colored	67
characteristics: comes in various colors	67
appearance: different color	67
color: segmented	67
characteristics: varies in color	67
appearance: multicolored	67
appearance: coloured	67
appearance: richly colored	67
appearance: yellowish color	68
appearance: yellowish-white	68
characteristics: yellowish color	68
appearance: yellow powder	68
appearance: yellowish-green color	68
appearance: yellowish-green	68
color: yellowish	68
appearance: yellowish	68
appearance: hole in the middle	69
appearance: with a hole in the middle	69
description: hole in center	69
appearance: holes	69
appearance: holes on top	69
appearance: airy holes	69
appearance: hole in center	69
hole in center: yes	69
appearance: hole-y	69
characteristic: hole in the center	69
appearance: with a hole in the center	69
appearance: holey interior	69
appearance: holes and cracks	69
definition: small cavity	69
shape: hole in center	69
shape: hole in the center	69
appearance: hole in the center	69
characteristics: hole in the middle	69
distinguishing feature: hole in center	69
shape: pitted	69
shape: hole in the middle	69
shape: hole	69
hole: empty	69
hole: center	69
definition: small hole	69
hole: large	69
hole in center: no	69
appearance: smooth top	70
appearance: ornamented with candied fruit	70
appearance: topped with currants	70
presentation: topped with fruit	70
presentation: decorated with fruit	70
appearance: topped with fruit	70
structure: with fruit on top	70
shape: topped with glaze	70
appearance: speckled with dried fruit	70
texture after cooking: crunchy	71
texture: crunchy exterior	71
texture when eaten: crunchy	71
texture: crunchy	71
appearance: crunchy	71
appearance: crunchy pieces	71
texture in mouth: crunchy	71
appearance: crunchy edges	71
attributes: crunchy	71
function: crunchy texture	71
category: crunchy food	71
appearance: crunchy texture	71
definition: crunchy on outside	71
food: crunchy	71
crunchiness: crunchy	71
texture: pulpy	71
appearance: knobby texture	71
food item: crunchy	71
purpose: crunchy exterior	71
texture: crunchy outside	71
appearance: crunchy surface	71
consistency: crunchy	71
appearance: crunchy top	71
shape: crunchy	71
category: crunchy	71
description: crunchy in texture	71
texture: slightly crunchy	71
type: crunchy	71
taste: crunchy	71
food type: crunchy	71
appearance: crunchy outside	71
characteristics: crunchy	71
coating: crunchy	71
properties: crunchy	71
crunchiness: soft	71
type: meat patty	72
type: flaky crust	72
distinguishing feature: thin crust	72
features: thick crust	72
style: crusty	72
texture: chunky	72
texture: flaky crust	72
definition: flaky crust	72
distinguishing feature: absence of crust	72
components: flaky crust	72
appearance: dark crust	72
style: thick crust	72
appearance: golden brown crust	72
distinguishing feature: distinctive crust	72
famous for: thin crust	72
appearance: rustic crust	72
crust: airy	72
crust shape: deep pan	72
distinguished by: stuffed crust	72
type: thin crust	72
characteristic: thick crust	72
characteristics: flaky crust	72
characteristics: thin crust	72
characteristics: thick crust	72
characteristics: crusty crust	72
crust types: flaky	72
characteristic: cheesy crust	72
crust types: shortcrust	72
characteristics: unique crust	72
appearance: golden crust	72
appearance: flaky crust	72
appearance: crusty crust	72
ingredients: flaky crust	72
appearance: dark brown crust	72
crust: flaky	72
types: thick crust	72
description: flaky crust	72
crust: shortcrust	72
shape: flaky crust	72
types: thin crust	72
crust: dark brown	72
crust type: thick crust	72
shape: puffed pieces	73
appearance: puffed up	73
characteristics: puffed up	73
shape: puffed	73
appearance: puffy	73
appearance: puffed	73
shape: puffs	73
appearance: puffed up shape	73
shape: inflated	73
appearance: puffed shape	73
taste: crisp	74
texture: grated	74
characteristics: crisp	74
texture: easy to peel	74
appearance: crisp edges	74
texture: crisp	74
characteristics: netted rind	74
shape: crisp	74
appearance: crisp	74
appearance: crisp texture	74
flavor: crisp	74
aroma: crisp	74
preparation: used in its pulp or seed form	74
origin: crisps	74
popularly known as: crisps	74
appearance: small and brown	75
definition: small, rounded, and usually brownish-black	75
appearance: small, round, shiny	75
description: small, round, colorful	75
appearance: small and round	75
appearance: small, round, dark	75
appearance: small, round, dark brown	75
appearance: brown pod	75
shape: brown	75
appearance: crunchy crust	76
appearance: crisp crust	76
crust: crispy	76
consistency: chunky	76
crust: cracker-like	76
crust: chewy	76
appearance: brown crust	76
crust: crunchy	76
shape: crunchy crust	76
crust: flour-based	76
appearance: buttery crust	76
characteristics: crunchy crust	76
appearance: thin crust	76
appearance: crispy crust	76
shape: long and crusty	76
appearance: long and crusty	76
texture: crunchy crust	76
appearance: crumbly crust	76
characteristic: crunchy crust edge	76
layers: alternating layers of meringue and buttercream	76
unique feature: crunchy crust	76
crust: crackery	76
characteristic: crunchy crust	76
baking method: crispy crust	76
style: crunchy crust	76
characteristics: crumbly crust	76
characteristics: crispy crust	76
crust shape: round	76
crust texture: crispy	76
crust texture: chewy	76
crust texture: crunchy	76
crust type: crispy	76
texture: crispy crust	76
texture: crumbly crust	76
appearance: shimmering	77
type: effervescent	77
physical characteristics: bioluminescent	77
appearance: sparkly	77
texture: iridescent	77
appearance: glittering	77
appearance: twinkling	77
properties: effervescent	77
features: glow-like appearance	77
appearance: iridescent	77
appearance: sparkling	77
appearance: wrinkled	78
appearance: crinkled surface	78
appearance: crinkled texture	78
appearance: crinkled	78
characteristics: crinkly casing	78
appearance: crinkly top	78
appearance: red-tinged leaves	79
appearance: long leaves	79
appearance: blue-green leaves	79
appearance: large leaves	79
appearance: dark green leaves	79
appearance: hairy leaves	79
appearance: crunchy leaves	79
physical characteristics: dark green leaves	79
appearance: grayish-green leaves	79
appearance: reddish-green leaves	79
appearance: long, thin leaves	79
physical characteristics: silver-gray bark	79
appearance: crisp leaves	79
appearance: curly leaves	79
category: green leaf	79
leaves: broad	79
appearance: green leaves	79
appearance: red or yellow leaves	79
appearance: gray-green leaves	79
appearance: broad leaves	79
leaves: dark green	79
appearance: flat leaves	79
appearance: blue-gray leaves	79
appearance: lobed leaves	79
appearance: rough brown skin	80
appearance: mottled	80
appearance: no blood	80
appearance: greenish-brown skin	80
appearance: tan	80
appearance: unique skin	80
appearance: skin with brown spots	80
appearance: skin is rough	80
appearance: wrinkled skin	80
appearance: red or yellow skin	80
appearance: tanned	80
appearance: brown skin	80
appearance: white or brown skin	80
appearance: colorful skin	80
appearance: reddish-brown skin	80
appearance: heavily veined	80
color: tan	80
appearance: thin skin	80
appearance: dark brown skin	80
appearance: bumpy skin	80
appearance: white color	81
percentage: white	81
appearance: white or yellow	81
contents: white	81
appearance: brown and white	81
description: white	81
appearance: white or off-white color	81
appearance: white or light brown	81
parts used: white part	81
appearance: white solid	81
appearance: white or golden	81
physical properties: white	81
appearance: white or pale yellow	81
color: white	81
appearance: white or purple	81
appearance: white or cream-colored	81
appearance: white or light-colored	81
color: off-white	81
appearance: white or black color	81
structure: white	81
appearance: white flesh	81
appearance: white or yellow color	81
feather color: white	81
appearance: white	81
appearance: white, green, or purple	81
texture: white	81
appearance: off-white	81
appearance: silvery white	81
appearance: white or yellowish	81
characteristics: white color	81
types: white	81
appearance: white or purple color	81
type: white	81
appearance: white or green	81
appearance: white or brown	81
appearance: white or off-white	81
appearance: white core	81
properties: white	81
appearance: black and white striped	82
appearance: spotted	82
