concept	facet	property	facet_property
assyriology	academic focus	department of near eastern languages and cultures	academic focus: department of near eastern languages and cultures
metrology	accuracy	reliable	accuracy: reliable
metrology	accuracy	exact	accuracy: exact
metrology	accuracy	precise	accuracy: precise
metrology	accuracy	precision	accuracy: precision
biometrics	accuracy	medium	accuracy: medium
metrology	accuracy	consistency	accuracy: consistency
biometrics	accuracy	low	accuracy: low
metrology	accuracy	high precision	accuracy: high precision
biometrics	accuracy	high	accuracy: high
biometrics	accuracy	dependent on method	accuracy: dependent on method
biometrics	accuracy	variable	accuracy: variable
metrology	accuracy	reliability	accuracy: reliability
harmonics	acoustics	vibrations	acoustics: vibrations
harmonics	acoustics	frequency analysis	acoustics: frequency analysis
harmonics	acoustics	study of sound waves	acoustics: study of sound waves
speleology	activities	exploration	activities: exploration
speleology	activities	mapping	activities: mapping
forestry	activities	planting	activities: planting
finance	activities	borrowing	activities: borrowing
finance	activities	lending	activities: lending
finance	activities	investing	activities: investing
forestry	activities	logging	activities: logging
forestry	activities	reforestation	activities: reforestation
forestry	activities	tree planting	activities: tree planting
home economics	activities	meal planning	activities: meal planning
home economics	activities	household chores	activities: household chores
civics	activities	voting	activities: voting
pediatrics	activities	vaccinations	activities: vaccinations
pediatrics	activities	health education	activities: health education
civics	activities	participating in protests	activities: participating in protests
civics	activities	engaging in discussions	activities: engaging in discussions
home economics	activities	grocery shopping	activities: grocery shopping
finance	activities	trading	activities: trading
forestry	activities	harvesting	activities: harvesting
pediatrics	activities	check-ups	activities: check-ups
speleology	activities	rock climbing	activities: rock climbing
home economics	activities	financial planning	activities: financial planning
speleology	activities	spelunking	activities: spelunking
speleology	activities	caving	activities: caving
speleology	activities	cave diving	activities: cave diving
finance	activity	saving	activity: saving
forestry	activity	maintaining	activity: maintaining
forestry	activity	planting	activity: planting
forestry	activity	logging	activity: logging
finance	activity	spending	activity: spending
finance	activity	investing	activity: investing
finance	activity	lending	activity: lending
forestry	activity	harvesting	activity: harvesting
forestry	activity	managing	activity: managing
finance	activity	borrowing	activity: borrowing
geopolitics	actors	leaders	actors: leaders
politics	actors	politicians	actors: politicians
politics	actors	citizens	actors: citizens
geopolitics	actors	countries	actors: countries
geopolitics	actors	diplomats	actors: diplomats
geopolitics	actors	military forces	actors: military forces
politics	actors	lobbyists	actors: lobbyists
geopolitics	actors	international organizations	actors: international organizations
economics	actors	consumers	actors: consumers
geopolitics	actors	non-state actors	actors: non-state actors
geopolitics	actors	ngos	actors: ngos
politics	actors	lobby groups	actors: lobby groups
geopolitics	actors	nations	actors: nations
geopolitics	actors	governments	actors: governments
economics	actors	producers	actors: producers
geopolitics	actors	corporations	actors: corporations
economics	actors	governments	actors: governments
politics	actors	bureaucrats	actors: bureaucrats
politics	actors	interest groups	actors: interest groups
geopolitics	actors	alliances	actors: alliances
geopolitics	actors	diplomacy	actors: diplomacy
economics	actors	firms	actors: firms
medicine	administration	injectable	administration: injectable
therapeutics	administration	topical	administration: topical
medicine	administration	oral	administration: oral
medicine	administration	topical	administration: topical
therapeutics	administration	oral	administration: oral
therapeutics	administration	injection	administration: injection
nuclear medicine	administration	intravenous	administration: intravenous
medicine	administration	taken orally	administration: taken orally
therapeutics	administration	self-medication	administration: self-medication
therapeutics	administration	over-the-counter	administration: over-the-counter
therapeutics	administration	prescription only	administration: prescription only
medicine	administration	applied topically	administration: applied topically
medicine	administration	injected	administration: injected
medicine	administration	intravenous	administration: intravenous
nuclear medicine	administration	injection	administration: injection
nuclear medicine	administration	oral	administration: oral
prosthetics	advancements	brain-controlled prosthetics	advancements: brain-controlled prosthetics
prosthetics	advancements	bionic limbs	advancements: bionic limbs
prosthetics	advancements	3d printing	advancements: 3d printing
prosthetics	advantage	restored appearance	advantage: restored appearance
prosthetics	advantage	improved dexterity	advantage: improved dexterity
prosthetics	advantage	enhanced mobility	advantage: enhanced mobility
cryonics	advantages	preservation of memories	advantages: preservation of memories
nonparametric statistics	advantages	can handle non-normal data	advantages: can handle non-normal data
nonparametric statistics	advantages	easy to interpret	advantages: easy to interpret
nonparametric statistics	advantages	robust to outliers	advantages: robust to outliers
prosthetics	advantages	enhance self-esteem	advantages: enhance self-esteem
prosthetics	advantages	increase independence	advantages: increase independence
prosthetics	advantages	improve quality of life	advantages: improve quality of life
nonparametric statistics	advantages	less assumptions	advantages: less assumptions
nonparametric statistics	advantages	ability to handle non-normal data	advantages: ability to handle non-normal data
nonparametric statistics	advantages	flexibility	advantages: flexibility
partial correlation	advantages	reduced bias	advantages: reduced bias
partial correlation	advantages	controlling for confounding variables	advantages: controlling for confounding variables
prosthetics	advantages	improve mobility	advantages: improve mobility
prosthetics	advantages	enhance dexterity	advantages: enhance dexterity
nonparametric statistics	advantages	less restrictive assumptions	advantages: less restrictive assumptions
nonparametric statistics	advantages	easy to implement	advantages: easy to implement
prosthetics	advantages	restore confidence	advantages: restore confidence
prosthetics	advantages	enhance appearance	advantages: enhance appearance
prosthetics	advantages	boost confidence	advantages: boost confidence
cryonics	advantages	potential to cure diseases	advantages: potential to cure diseases
partial correlation	advantages	increased precision	advantages: increased precision
nonparametric statistics	advantages	more flexible than parametric methods	advantages: more flexible than parametric methods
nonparametric statistics	advantages	no assumptions on data distribution	advantages: no assumptions on data distribution
nonparametric statistics	advantages	less sensitive to distribution	advantages: less sensitive to distribution
prosthetics	advantages	enhancing self-esteem	advantages: enhancing self-esteem
prosthetics	advantages	pain relief	advantages: pain relief
prosthetics	advantages	restoring mobility	advantages: restoring mobility
prosthetics	advantages	improving quality of life	advantages: improving quality of life
prosthetics	advantages	increased mobility	advantages: increased mobility
prosthetics	advantages	improved self-esteem	advantages: improved self-esteem
nonparametric statistics	advantages	flexible	advantages: flexible
nonparametric statistics	advantages	robust	advantages: robust
dental surgery	aftercare	medication	aftercare: medication
dental surgery	aftercare	pain management	aftercare: pain management
dental surgery	aftercare	flossing	aftercare: flossing
dental surgery	aftercare	rinsing mouth	aftercare: rinsing mouth
dental surgery	aftercare	brushing	aftercare: brushing
dental surgery	aftercare	taking painkillers	aftercare: taking painkillers
dental surgery	aftercare	dietary changes	aftercare: dietary changes
dental surgery	aftercare	brushing teeth	aftercare: brushing teeth
geriatrics	age group	65 and above	age group: 65 and above
geriatrics	age group	seniors	age group: seniors
geriatrics	age group	elderly	age group: elderly
geriatrics	age group	senior citizens	age group: senior citizens
geriatrics	age group	old age	age group: old age
geriatrics	age group	65+	age group: 65+
geriatrics	age group	older adults	age group: older adults
pediatrics	age range	childhood	age range: childhood
orthodontics	age range	children	age range: children
orthodontics	age range	adults	age range: adults
orthodontics	age range	elderly	age range: elderly
geriatrics	age range	65+	age range: 65+
pediatrics	age range	infancy	age range: infancy
developmental psychology	age range	old age	age range: old age
geriatrics	age range	senior citizens	age range: senior citizens
developmental psychology	age range	adulthood	age range: adulthood
pediatrics	age range	adolescence	age range: adolescence
developmental psychology	age range	childhood	age range: childhood
developmental psychology	age range	infancy	age range: infancy
pediatrics	age range	newborn to adolescence	age range: newborn to adolescence
developmental psychology	age range	adolescence	age range: adolescence
triangulation	algorithm	recursive	algorithm: recursive
triangulation	algorithm	iterative	algorithm: iterative
linear programming	algorithm	simplex method	algorithm: simplex method
triangulation	algorithm	step-by-step process	algorithm: step-by-step process
triangulation	algorithm	ear clipping	algorithm: ear clipping
triangulation	algorithm	approximating	algorithm: approximating
triangulation	algorithm	simpson's paradox	algorithm: simpson's paradox
triangulation	algorithm	recursive function	algorithm: recursive function
triangulation	algorithm	calculating	algorithm: calculating
triangulation	algorithm	finding	algorithm: finding
triangulation	algorithm	algorithmic process	algorithm: algorithmic process
triangulation	algorithm	schnorr's algorithm	algorithm: schnorr's algorithm
triangulation	algorithm	ear's algorithm	algorithm: ear's algorithm
triangulation	algorithm	iterative method	algorithm: iterative method
triangulation	algorithm	delaunay triangulation	algorithm: delaunay triangulation
linear programming	algorithm	gradient method	algorithm: gradient method
fourier analysis	algorithm	fast fourier transform	algorithm: fast fourier transform
fourier analysis	algorithm	cooley-tukey algorithm	algorithm: cooley-tukey algorithm
fourier analysis	algorithm	discrete fourier transform	algorithm: discrete fourier transform
fourier analysis	algorithmic aspect	numerical stability	algorithmic aspect: numerical stability
fourier analysis	algorithmic aspect	discrete fourier transform	algorithmic aspect: discrete fourier transform
fourier analysis	algorithmic aspect	fast fourier transform	algorithmic aspect: fast fourier transform
descriptive grammar	analysis	case grammar	analysis: case grammar
ethnography	analysis	coding	analysis: coding
ethnography	analysis	interpretation	analysis: interpretation
ethnography	analysis	thematic analysis	analysis: thematic analysis
descriptive grammar	analysis	phrase structure grammar	analysis: phrase structure grammar
syntax	analysis	semantic analysis	analysis: semantic analysis
curvilinear correlation	analysis	curve estimation	analysis: curve estimation
ethnography	analysis	thematic	analysis: thematic
ethnography	analysis	interpretive	analysis: interpretive
syntax	analysis	parsing	analysis: parsing
partial correlation	analysis	correlation matrix	analysis: correlation matrix
partial correlation	analysis	pearson's r	analysis: pearson's r
syntax	analysis	syntactic analysis	analysis: syntactic analysis
positive correlation	analysis	correlation coefficient	analysis: correlation coefficient
negative correlation	analysis	regression analysis	analysis: regression analysis
negative correlation	analysis	scatter plot	analysis: scatter plot
positive correlation	analysis	scatter plot	analysis: scatter plot
correlation	analysis	scatter plot	analysis: scatter plot
correlation	analysis	regression	analysis: regression
correlation	analysis	correlation coefficient	analysis: correlation coefficient
descriptive grammar	analysis	functional grammar	analysis: functional grammar
ethnography	analysis	memoing	analysis: memoing
curvilinear correlation	analysis	regression analysis	analysis: regression analysis
curvilinear correlation	analysis method	non-linear regression	analysis method: non-linear regression
curvilinear correlation	analysis method	curve fitting	analysis method: curve fitting
statics	analysis of	vibration	analysis of: vibration
statics	analysis of	stress	analysis of: stress
statics	analysis of	motion	analysis of: motion
ethnography	analysis technique	coding	analysis technique: coding
ethnography	analysis technique	theming	analysis technique: theming
ethnography	analysis technique	grounded theory	analysis technique: grounded theory
ethnography	analysis techniques	phenomenology	analysis techniques: phenomenology
demography	analysis techniques	descriptive statistics	analysis techniques: descriptive statistics
demography	analysis techniques	inferential statistics	analysis techniques: inferential statistics
demography	analysis techniques	statistical analysis	analysis techniques: statistical analysis
demography	analysis techniques	data visualization	analysis techniques: data visualization
demography	analysis techniques	predictive modeling	analysis techniques: predictive modeling
statics	analysis techniques	equilibrium equations	analysis techniques: equilibrium equations
ethnography	analysis techniques	grounded theory	analysis techniques: grounded theory
ethnography	analysis techniques	content analysis	analysis techniques: content analysis
statics	analysis techniques	energy methods	analysis techniques: energy methods
statics	analysis techniques	free body diagrams	analysis techniques: free body diagrams
phonology	analysis tool	phonetic transcription	analysis tool: phonetic transcription
phonology	analysis tool	phonological analysis	analysis tool: phonological analysis
kinematics	analysis tools	equations of motion	analysis tools: equations of motion
kinematics	analysis tools	kinematic equations	analysis tools: kinematic equations
kinematics	analysis tools	graphical methods	analysis tools: graphical methods
phytochemistry	analytical techniques	nmr	analytical techniques: nmr
phytochemistry	analytical techniques	gc-ms	analytical techniques: gc-ms
phytochemistry	analytical techniques	hplc	analytical techniques: hplc
phonology	analyzes	syllable structure	analyzes: syllable structure
microeconomics	analyzes	market structures	analyzes: market structures
sociolinguistics	analyzes	pragmatics	analyzes: pragmatics
sociolinguistics	analyzes	social norms	analyzes: social norms
microeconomics	analyzes	price determination	analyzes: price determination
economic geography	analyzes	globalization	analyzes: globalization
economic geography	analyzes	urbanization	analyzes: urbanization
economic geography	analyzes	resource distribution	analyzes: resource distribution
microeconomics	analyzes	consumer behavior	analyzes: consumer behavior
microeconomics	analyzes	market equilibrium	analyzes: market equilibrium
microeconomics	analyzes	behaviour of markets	analyzes: behaviour of markets
microeconomics	analyzes	behaviour of firms	analyzes: behaviour of firms
microeconomics	analyzes	behaviour of consumers	analyzes: behaviour of consumers
economic geography	analyzes	trade	analyzes: trade
sociolinguistics	analyzes	discourse	analyzes: discourse
microeconomics	analyzes	consumption	analyzes: consumption
microeconomics	analyzes	resource allocation	analyzes: resource allocation
microeconomics	analyzes	prices	analyzes: prices
morphology	analyzes	words	analyzes: words
morphology	analyzes	sentences	analyzes: sentences
microeconomics	analyzes	production and consumption	analyzes: production and consumption
morphology	analyzes	phrases	analyzes: phrases
microeconomics	analyzes	competition	analyzes: competition
economic geography	analyzes	economic systems	analyzes: economic systems
microeconomics	analyzes	supply and demand	analyzes: supply and demand
phonology	analyzes	sound combinations	analyzes: sound combinations
microeconomics	analyzes	production	analyzes: production
phonology	analyzes	sounds	analyzes: sounds
regional anatomy	anatomical site	kidneys	anatomical site: kidneys
regional anatomy	anatomical site	liver	anatomical site: liver
regional anatomy	anatomical site	heart	anatomical site: heart
regional anatomy	anatomical site	brain	anatomical site: brain
regional anatomy	anatomical structure	skin	anatomical structure: skin
physiology	anatomical structure	brain	anatomical structure: brain
physiology	anatomical structure	heart	anatomical structure: heart
physiology	anatomical structure	liver	anatomical structure: liver
regional anatomy	anatomical structure	bone	anatomical structure: bone
regional anatomy	anatomical structure	artery	anatomical structure: artery
regional anatomy	anatomical structure	muscle	anatomical structure: muscle
regional anatomy	anatomical structure	tendon	anatomical structure: tendon
regional anatomy	anatomical structure	nerve	anatomical structure: nerve
regional anatomy	anatomical structure	vein	anatomical structure: vein
regional anatomy	anatomical structure	ligament	anatomical structure: ligament
surgery	anesthesia	local	anesthesia: local
dental surgery	anesthesia	local	anesthesia: local
dental surgery	anesthesia	general	anesthesia: general
exodontics	anesthesia	general anesthesia	anesthesia: general anesthesia
surgery	anesthesia	conscious	anesthesia: conscious
exodontics	anesthesia	local anesthesia	anesthesia: local anesthesia
surgery	anesthesia	sedation	anesthesia: sedation
dental surgery	anesthesia	sedation	anesthesia: sedation
surgery	anesthesia	general	anesthesia: general
dental surgery	anesthesia used	general	anesthesia used: general
dental surgery	anesthesia used	local	anesthesia used: local
hyperbolic geometry	angles	sum greater than 180 degrees	angles: sum greater than 180 degrees
hyperbolic geometry	angles	no parallel lines	angles: no parallel lines
hyperbolic geometry	angles	sum of angles greater than 180 degrees	angles: sum of angles greater than 180 degrees
comparative anatomy	applicability	evolutionary biology	applicability: evolutionary biology
developmental anatomy	applicability	developing new therapies	applicability: developing new therapies
comparative anatomy	applicability	medicine	applicability: medicine
comparative anatomy	applicability	conservation biology	applicability: conservation biology
developmental anatomy	applicability	understanding diseases	applicability: understanding diseases
developmental anatomy	applicability	improving treatments	applicability: improving treatments
embryology	applicable to	humans	applicable to: humans
embryology	applicable to	animals	applicable to: animals
embryology	applicable to	plants	applicable to: plants
problem solving	application	academic	application: academic
biomedical science	application	prevention	application: prevention
archeology	application	education	application: education
biometrics	application	surveillance	application: surveillance
quantum electrodynamics	application	quantum computing	application: quantum computing
biomedical science	application	diagnosis	application: diagnosis
biomedical science	application	medical research	application: medical research
biomedical science	application	medical treatment	application: medical treatment
comparative anatomy	application	evolutionary biology	application: evolutionary biology
comparative anatomy	application	forensic science	application: forensic science
biomedical science	application	therapy	application: therapy
civics	application	international relations	application: international relations
social science	application	understanding human society	application: understanding human society
space medicine	application	space missions	application: space missions
comparative anatomy	application	medical research	application: medical research
biosystematics	application	conservation biology	application: conservation biology
astrometry	application	determining star distances	application: determining star distances
pomology	application	improving fruit quality	application: improving fruit quality
genomics	application	forensic science	application: forensic science
quantum electrodynamics	application	particle physics	application: particle physics
ethnography	application	cultural understanding	application: cultural understanding
ethnography	application	social change	application: social change
ethnography	application	policy making	application: policy making
quantum field theory	application	particle accelerators	application: particle accelerators
pomology	application	developing new fruit varieties	application: developing new fruit varieties
pomology	application	increasing fruit yield	application: increasing fruit yield
craniometry	application	neurology	application: neurology
problem solving	application	professional	application: professional
civics	application	local community	application: local community
space medicine	application	astronauts	application: astronauts
plasma physics	application	space exploration	application: space exploration
plasma physics	application	fusion power	application: fusion power
problem solving	application	personal	application: personal
genomics	application	agriculture	application: agriculture
pharmacogenetics	application	avoiding adverse reactions	application: avoiding adverse reactions
pharmacogenetics	application	tailoring treatments	application: tailoring treatments
space medicine	application	space stations	application: space stations
plasma physics	application	medical equipment	application: medical equipment
biosystematics	application	study of evolutionary history	application: study of evolutionary history
quantum electrodynamics	application	high-energy physics	application: high-energy physics
thermionics	application	radio technology	application: radio technology
developmental psychology	application	counseling	application: counseling
developmental psychology	application	therapy	application: therapy
metallurgy	application	electronics	application: electronics
metallurgy	application	transportation	application: transportation
metallurgy	application	construction	application: construction
biomedicine	application	prevention	application: prevention
forensic medicine	application	crime scene investigation	application: crime scene investigation
forensic medicine	application	justice system	application: justice system
biomedical science	application	public health	application: public health
biomedicine	application	diagnosis	application: diagnosis
lepidopterology	application	biological research	application: biological research
lepidopterology	application	ecology	application: ecology
home economics	application	family planning	application: family planning
home economics	application	career choices	application: career choices
aeronautics	application	space exploration	application: space exploration
aeronautics	application	aviation	application: aviation
thermionics	application	power generation	application: power generation
home economics	application	everyday life	application: everyday life
herpetology	application	education	application: education
genomics	application	diagnostic tool	application: diagnostic tool
genomics	application	personalized medicine	application: personalized medicine
herpetology	application	research	application: research
harmonics	application	acoustics	application: acoustics
harmonics	application	vibration	application: vibration
harmonics	application	music	application: music
biomedicine	application	therapy	application: therapy
genomics	application	forensic analysis	application: forensic analysis
metallurgy	application	jewelry	application: jewelry
developmental psychology	application	education	application: education
biosystematics	application	identification of species	application: identification of species
stratigraphy	application	environmental monitoring	application: environmental monitoring
thermionics	application	early computing	application: early computing
social science	application	developing policies	application: developing policies
civics	application	national government	application: national government
developmental psychology	application	social work	application: social work
paleodendrology	application	studying ancient civilizations	application: studying ancient civilizations
orology	application	scientific research	application: scientific research
orology	application	space exploration	application: space exploration
orology	application	everyday life	application: everyday life
oology	application	ecological research	application: ecological research
social science	application	improving social welfare	application: improving social welfare
oology	application	wildlife management	application: wildlife management
stratigraphy	application	geological survey	application: geological survey
oology	application	conservation	application: conservation
nuclear medicine	application	thyroid treatment	application: thyroid treatment
nuclear medicine	application	heart disease diagnosis	application: heart disease diagnosis
stratigraphy	application	archaeological site	application: archaeological site
natural history	application	space exploration	application: space exploration
natural history	application	agriculture	application: agriculture
dialect geography	application	language teaching	application: language teaching
dialect geography	application	language preservation	application: language preservation
dialect geography	application	cultural understanding	application: cultural understanding
econometrics	application	forecasting	application: forecasting
econometrics	application	policy evaluation	application: policy evaluation
aeronautics	application	military	application: military
econometrics	application	business decision making	application: business decision making
clinical anatomy	application	medical treatment	application: medical treatment
genomics	application	medicine	application: medicine
paleography	application	dating historical documents	application: dating historical documents
systematics	application	ecology	application: ecology
cybernetics	application	psychology	application: psychology
cytogenetics	application	diagnosing genetic disorders	application: diagnosing genetic disorders
cytogenetics	application	understanding cancer development	application: understanding cancer development
dermatoglyphics	application	crime investigation	application: crime investigation
dermatoglyphics	application	identity verification	application: identity verification
descriptive linguistics	application	language testing	application: language testing
femtochemistry	application	understanding chemical dynamics	application: understanding chemical dynamics
femtochemistry	application	studying reaction mechanisms	application: studying reaction mechanisms
quantum field theory	application	particle accelerator	application: particle accelerator
quantum field theory	application	cosmology	application: cosmology
functional anatomy	application	medicine	application: medicine
functional anatomy	application	sports training	application: sports training
cryobiology	application	preservation of biological samples for research	application: preservation of biological samples for research
cryobiology	application	preservation of organs for transplantation	application: preservation of organs for transplantation
herpetology	application	medicine	application: medicine
hydrostatics	application	design of ships	application: design of ships
hydrostatics	application	design of submarines	application: design of submarines
cybernetics	application	engineering	application: engineering
cybernetics	application	medicine	application: medicine
cryobiology	application	study of the effects of cold on biological systems	application: study of the effects of cold on biological systems
cryobiology	application	cryopreservation of cells	application: cryopreservation of cells
thermionics	application	x-ray tubes	application: x-ray tubes
vertebrate paleontology	application	biogeography	application: biogeography
vertebrate paleontology	application	systematics	application: systematics
vertebrate paleontology	application	conservation biology	application: conservation biology
veterinary medicine	application	animal vaccination	application: animal vaccination
veterinary medicine	application	animal surgery	application: animal surgery
veterinary medicine	application	animal anesthesia	application: animal anesthesia
biomedicine	application	treatment	application: treatment
hydrostatics	application	study of ocean currents	application: study of ocean currents
biometrics	application	access control	application: access control
biosystematics	application	medical research	application: medical research
biosystematics	application	ecological studies	application: ecological studies
cosmography	application	understanding the universe	application: understanding the universe
cosmography	application	predicting celestial events	application: predicting celestial events
cosmography	application	search for extraterrestrial life	application: search for extraterrestrial life
craniology	application	anthropological research	application: anthropological research
craniometry	application	anthropology	application: anthropology
craniometry	application	medical research	application: medical research
biometrics	application	identity verification	application: identity verification
ichthyology	application	management	application: management
craniology	application	research	application: research
craniology	application	medical diagnosis	application: medical diagnosis
quantum mechanics	application	optics	application: optics
proteomics	application	personalized medicine	application: personalized medicine
protozoology	application	medical research	application: medical research
protozoology	application	water quality monitoring	application: water quality monitoring
protozoology	application	food safety	application: food safety
quantum physics	application	medicine	application: medicine
sociolinguistics	application	language education	application: language education
sociolinguistics	application	language policy	application: language policy
quantum mechanics	application	electronics	application: electronics
sociolinguistics	application	societal change	application: societal change
clinical anatomy	application	research	application: research
clinical anatomy	application	treatment	application: treatment
clinical anatomy	application	diagnosis	application: diagnosis
radio astronomy	application	searching for extraterrestrial life	application: searching for extraterrestrial life
radio astronomy	application	studying universe	application: studying universe
quantum physics	application	computer chip	application: computer chip
thermionics	application	heating	application: heating
thermionics	application	cooling	application: cooling
quantum mechanics	application	computing	application: computing
thermionics	application	electric heaters	application: electric heaters
prosthetics	application	medical	application: medical
prosthetics	application	military	application: military
craniology	application	forensic science	application: forensic science
mammalogy	application	conservation	application: conservation
mammalogy	application	medicine	application: medicine
quantum field theory	application	condensed matter physics	application: condensed matter physics
nuclear medicine	application	thyroid function test	application: thyroid function test
paleoanthropology	application	understanding human diversity	application: understanding human diversity
paleoanthropology	application	reconstructing ancient environments	application: reconstructing ancient environments
paleoanthropology	application	informing conservation efforts	application: informing conservation efforts
prosthetics	application	sports	application: sports
paleoethnography	application	understanding human evolution	application: understanding human evolution
paleography	application	authenticating historical documents	application: authenticating historical documents
phonology	application	language processing	application: language processing
comparative anatomy	application	research	application: research
comparative anatomy	application	biology	application: biology
comparative anatomy	application	medicine	application: medicine
pomology	application	improving crop yields	application: improving crop yields
pomology	application	developing disease-resistant varieties	application: developing disease-resistant varieties
pomology	application	enhancing fruit quality	application: enhancing fruit quality
paleography	application	dating of manuscripts	application: dating of manuscripts
structural genomics	application	developing new medicines	application: developing new medicines
thermionics	application	light bulbs	application: light bulbs
systematics	application	conservation	application: conservation
descriptive grammar	application	linguistics	application: linguistics
descriptive grammar	application	language learning	application: language learning
descriptive grammar	application	text analysis	application: text analysis
descriptive linguistics	application	language assessment	application: language assessment
electron optics	application	beam manipulation	application: beam manipulation
electron optics	application	spectroscopy	application: spectroscopy
electron optics	application	microscopy	application: microscopy
electron optics	application	analysis	application: analysis
ethnography	application	cultural awareness	application: cultural awareness
ethnography	application	research	application: research
genomics	application	medical research	application: medical research
paleornithology	application	historical reconstruction	application: historical reconstruction
economic geology	application	water supply management	application: water supply management
economic geology	application	oil and gas extraction	application: oil and gas extraction
economic geology	application	mining	application: mining
home economics	application	daily life	application: daily life
home economics	application	family	application: family
descriptive grammar	application	language teaching	application: language teaching
dermatoglyphics	application	forensic science	application: forensic science
cosmography	application	navigating	application: navigating
cosmography	application	predicting weather	application: predicting weather
thermionics	application	electronics	application: electronics
triangulation	application	mapping	application: mapping
triangulation	application	geographic information system	application: geographic information system
analysis	application	decision making	application: decision making
analysis	application	problem solving	application: problem solving
analytic geometry	application	physics	application: physics
analytic geometry	application	engineering	application: engineering
analytic geometry	application	computer graphics	application: computer graphics
home economics	application	community	application: community
analytic geometry	application	computer vision	application: computer vision
biomedical science	application	pharmaceutical development	application: pharmaceutical development
archeology	application	cultural heritage	application: cultural heritage
archeology	application	conservation	application: conservation
anatomy	application	surgical procedures	application: surgical procedures
anatomy	application	medical diagnosis	application: medical diagnosis
clinical anatomy	application	medicine	application: medicine
clinical anatomy	application	surgery	application: surgery
cosmography	application	understanding universe	application: understanding universe
biomedical science	application	disease diagnosis	application: disease diagnosis
mammalogy	application	conservation biology	application: conservation biology
mammalogy	application	medical research	application: medical research
mammalogy	application	agriculture	application: agriculture
stratigraphy	application	archaeological site investigation	application: archaeological site investigation
descriptive linguistics	application	language description	application: language description
descriptive linguistics	application	language documentation	application: language documentation
descriptive linguistics	application	language teaching	application: language teaching
radio astronomy	application	studying distant galaxies	application: studying distant galaxies
radio astronomy	application	searching for exoplanets	application: searching for exoplanets
radio astronomy	application	understanding cosmic phenomena	application: understanding cosmic phenomena
stratigraphy	application	mining	application: mining
structural genomics	application	understanding protein function	application: understanding protein function
stratigraphy	application	oil exploration	application: oil exploration
stratigraphy	application	understanding earth's history	application: understanding earth's history
stratigraphy	application	finding natural resources	application: finding natural resources
stratigraphy	application	predicting natural disasters	application: predicting natural disasters
structural genomics	application	developing new drugs	application: developing new drugs
structural genomics	application	designing new biomaterials	application: designing new biomaterials
social science	application	business	application: business
social science	application	social work	application: social work
social science	application	public policy	application: public policy
social science	application	education	application: education
systematics	application	medicine	application: medicine
structural genomics	application	designing new drugs	application: designing new drugs
psychodynamics	application	developing self-awareness	application: developing self-awareness
mammalogy	application	ecotourism	application: ecotourism
mathematics	application	data analysis	application: data analysis
molecular genetics	application	genetic engineering	application: genetic engineering
molecular genetics	application	diagnosis of genetic diseases	application: diagnosis of genetic diseases
molecular genetics	application	forensic science	application: forensic science
mycology	application	medicine	application: medicine
mycology	application	food	application: food
