concept	property	cluster_label
flight schedule	showing flight routes	0
dual gauge railway	used for passenger transport	0
flight schedule	showing flight timings	0
petroleum product pipeline	managed by companies	0
turbojet engine	generate thrust	0
turbojet engine	use jet fuel	0
turbojet engine	used in military	0
guiding	providing information	0
bulkhead	used in shipbuilding	0
port facility	used for exporting goods	0
port facility	used for international trade	0
port facility	managed by authorities	0
guiding	used for traveling	0
guiding	providing orientation	0
guiding	helping navigation	0
dual gauge railway	carries different gauge trains	0
guiding	providing directions	0
turbojet engine	used in commercial	0
dual gauge railway	used in multiple countries	0
dual gauge railway	has different rail sizes	0
whaling ship	used for commercial purposes	0
whaling ship	used for harvesting	0
whaling ship	located in oceans	0
turbojet engine	generate high speed	0
turbojet engine	used in space	0
dual gauge railway	used for international transport	0
dual gauge railway	has separate tracks	0
commercial agent	works on behalf of company	0
port facility	used for receiving goods	0
canal system	network of waterways	0
private railcar	owned by individuals	0
private railcar	used for business	0
electrified railway	have overhead wires	0
private railcar	located in train stations	0
private railcar	have private rooms	0
private railcar	used for vacations	0
head end car	car with engine	0
head end car	car with driver	0
electrified railway	used for passenger	0
head end car	car with brakes	0
electrified railway	used for freight	0
electrified railway	used for commuter	0
electrified railway	used for high speeds	0
head end car	car with wheels	0
electrified railway	used for long distances	0
head end car	car with seats	0
electrified railway	powered by electricity	0
head end car	car with doors	0
head end car	car with windows	0
private railcar	used for transport	0
canal system	connects rivers	0
canal system	used for irrigation	0
paved runway	has lights	0
canal system	used for transportation	0
canal system	located in cities	0
petroleum product pipeline	used for commerce	0
petroleum product pipeline	long distances	0
petroleum product pipeline	used for transportation	0
petroleum product pipeline	transports oil	0
paved runway	used for air travel	0
paved runway	has signs	0
paved runway	used for aircraft	0
mass measure	used for commerce	0
canal system	used for trade	0
paved runway	made of asphalt	0
paved runway	located in airports	0
paved runway	used for landing	0
paved runway	used for takeoff	0
railroad company	transport people	0
mass measure	used for construction	0
mass measure	used for engineering	0
bulkhead	used in construction	0
bulkhead	used in aircraft	0
vehicle crew	located in trains	0
port crane	used for loading	0
port crane	have cables	0
port crane	have wheels	0
transit route	used for transportation	0
transit route	made of roads	0
transit route	made of rails	0
transit route	used for buses	0
transit route	used for trains	0
port crane	used for heavy lifting	0
port crane	large in size	0
transit route	used for cars	0
transit route	located in cities	0
port crane	used for shipping	0
transit route	used for daily commutes	0
port crane	located in ports	0
port crane	used for unloading	0
transit route	used for long distance travel	0
transit route	has stops	0
pusher tug	large vessel	0
pusher tug	used for towing	0
port crane	used for cargo handling	0
port city	have economic importance	0
port crane	mechanized equipment	0
military watercraft	located in harbors	0
port city	have ships	0
vehicle crew	located in buses	0
vehicle crew	located in trucks	0
port city	have sailors	0
vehicle crew	located in cars	0
vehicle crew	passengers	0
vehicle crew	drivers	0
military watercraft	used for special operations	0
port city	used for commerce	0
river port	located near rivers	0
military watercraft	used for transport	0
military watercraft	used for amphibious assault	0
military watercraft	used for naval warfare	0
river port	have waterways	0
head end car	car with mirrors	0
river port	used for international trade	0
river port	used for transportation	0
river port	used for cargo	0
pusher tug	used in harbors	0
pusher tug	has engines	0
bulkhead	used in buildings	0
pusher tug	used in shipyards	0
sea lane	navigated by ships	0
electronic signalling	used in data transmission	0
electronic signalling	used in communication	0
electronic signalling	transfers information	0
electronic signalling	uses wires	0
electronic signalling	uses electricity	0
deck crane	used for construction	0
deck crane	used for cargo handling	0
deck crane	attached to ships	0
deck crane	used for heavy lifting	0
traffic light	red means stop	0
deck crane	mechanical device	0
deck crane	used for unloading	0
deck crane	used for loading	0
deck crane	used for lifting	0
deck crane	located on ships	0
bulkhead	used in ship repair	0
bulkhead	used in naval architecture	0
bulkhead	used in marine engineering	0
sea lane	located in oceans	0
sea lane	used for trade	0
sea lane	used for travel	0
canal lock gate	controlled by operators	0
signalling	used in navigation	0
signalling	used in traffic	0
signalling	used for directions	0
signalling	way of communication	0
canal lock gate	used for water flow management	0
pusher tug	used for maintenance	0
canal lock gate	have mechanical systems	0
canal lock gate	used for boat lift	0
canal lock gate	used for water transportation	0
sea lane	regulated by authorities	0
canal lock gate	moveable	0
canal lock gate	used for navigation	0
canal lock gate	located in canals	0
canal lock gate	used for water level control	0
port facility	located near oceans	0
sea lane	used for passenger	0
port facility	used for shipping	0
sea lane	used for cargo	0
river port	used for logistics	0
railroad company	transport goods	0
traffic light	located in cities	0
road junction	located in cities	0
passenger car	has windows	0
passenger car	has doors	0
passenger car	has engine	0
passenger car	has wheels	0
passenger car	located on roads	0
passenger car	used for transportation	0
passenger car	has seats	0
passenger car	used for daily commute	0
road junction	have lanes	0
road junction	used for navigation	0
road junction	have traffic signals	0
passenger car	used for driving	0
road junction	have stop signs	0
road junction	have traffic lights	0
road junction	used for traffic	0
road junction	intersection of roads	0
atmospheric region	located above the earth	0
organic compound	found in soil	0
jet airplane	have seats	0
jet airplane	used for military	0
jet airplane	used for business	0
jet airplane	located in airports	0
passenger car	has mirrors	0
air traffic control procedure	involve communication	0
jet airplane	powered by engines	0
ship hatch	used for passengers	0
shipping lane	located in oceans	0
shipping lane	used for transportation	0
ship register	contains ship location	0
ship register	contains ship speed	0
ship register	contains ship size	0
ship register	contains ship type	0
ship register	contains ship owner	0
ship register	contains ship details	0
ship register	kept by government	0
ship hatch	have windows	0
ship hatch	used for cargo	0
air traffic control procedure	used for landing	0
ship hatch	have doors	0
ship hatch	located on ships	0
air traffic control center	used for navigation	0
air traffic control center	used for traffic management	0
air traffic control center	used for communicating	0
air traffic control center	used for guiding planes	0
air traffic control center	located in airports	0
keeping	conservation of something	0
air traffic control procedure	used for navigation	0
air traffic control procedure	used for takeoff	0
jet airplane	used for long distance travel	0
jet airplane	flying at high speeds	0
shipping lane	regulated by authorities	0
transportation device	used for business	0
motor scooter	used for short trips	0
motor scooter	have wheels	0
motor scooter	located in roads	0
motor scooter	used for commuting	0
motor scooter	used for transport	0
motor scooter	powered by engines	0
transportation device	used for daily life	0
transportation device	have seats	0
transportation device	have wheels	0
transportation device	have engines	0
transportation device	used for commuting	0
motor scooter	used for city driving	0
transportation device	located in roads	0
transportation device	used for travel	0
transportation device	means of movement	0
shipping channel	have restrictions	0
shipping channel	have rules	0
shipping channel	used for commerce	0
shipping channel	used for international trade	0
shipping channel	have lights	0
shipping channel	used for trade	0
shipping channel	located in seas	0
motor scooter	have brakes	0
fishing trawler	located in seas	0
turboprop airplane	used for commuter flights	0
transportation schedule	showing stops	0
turboprop airplane	used for regional flights	0
turboprop airplane	used for passenger transport	0
turboprop airplane	used for cargo transport	0
turboprop airplane	used for small airports	0
managing	involves communication	0
transportation schedule	showing arrival times	0
transportation schedule	showing departure times	0
transportation schedule	showing vehicles	0
transportation schedule	showing routes	0
transportation schedule	showing frequencies	0
transportation schedule	showing routes	0
fishing trawler	large boats	0
transportation schedule	showing time and date	0
navigation light	regulated by maritime laws	0
navigation light	has red, green, and white lights	0
navigation light	used for night sailing	0
navigation light	located on masts	0
navigation light	indicates direction	0
navigation light	used on boats	0
fishing trawler	used for long trips	0
fishing trawler	have engines	0
fishing trawler	used for commercial purposes	0
shipping lane	used for cargo	0
shipping lane	used for international trade	0
dry bulk cargo	used for economic growth	0
offshore anchorage	used for maintenance	0
diesel engine	used in trucks	0
surfaced roadway	has road markings	0
surfaced roadway	has traffic signs	0
surfaced roadway	has lanes	0
surfaced roadway	used for travel	0
surfaced roadway	used for commuting	0
surfaced roadway	located in highways	0
surfaced roadway	located in cities	0
surfaced roadway	used for driving	0
surfaced roadway	made of asphalt	0
offshore anchorage	used for refueling	0
diesel engine	used in buses	0
offshore anchorage	used for repairs	0
offshore anchorage	requires navigation	0
offshore anchorage	used for ships	0
offshore anchorage	used for boats	0
offshore anchorage	located in open sea	0
trade embargo	hurts citizens	0
trade embargo	hurts businesses	0
trade embargo	hurts economy	0
trade embargo	targeting specific countries	0
trade embargo	imposed by governments	0
diesel engine	used in cars	0
diesel engine	used in construction	0
fire boat	have fire hoses	0
offshore supply ship	have cargo holds	0
passenger railway car	has luggage space	0
passenger railway car	has doors	0
passenger railway car	has windows	0
passenger railway car	has seats	0
passenger railway car	located on trains	0
passenger railway car	used for transportation	0
offshore supply ship	used for supporting industries	0
offshore supply ship	have engines	0
offshore supply ship	used for construction	0
offshore supply ship	used for maintenance	0
offshore supply ship	used for oil rigs	0
diesel engine	used in agriculture	0
offshore supply ship	located in oceans	0
offshore supply ship	used for transporting goods	0
transportation company	have routes	0
transportation company	used for goods	0
transportation company	used for commuting	0
transportation company	located in cities	0
transportation company	have drivers	0
transportation company	have vehicles	0
transportation company	provide services	0
diesel engine	used in industry	0
trade embargo	restriction on imports	0
fire boat	located in ports	0
shipping lane	have traffic rules	0
sport utility vehicle	have engines	0
truck trailer	used for hauling	0
truck trailer	used for moving	0
truck trailer	large in size	0
truck trailer	used for transport	0
truck trailer	attached to trucks	0
organic object	grows in nature	0
international airport	have flights	0
international airport	used for travel	0
international airport	located near cities	0
sport utility vehicle	used for towing	0
sport utility vehicle	used for outdoor activities	0
truck trailer	have wheels	0
sport utility vehicle	four wheel drive	0
sport utility vehicle	large size	0
parking garage	have lighting	0
parking garage	have gates	0
parking garage	located in buildings	0
parking garage	located in cities	0
shipping lane	have maritime laws	0
shipping lane	used for oil transport	0
shipping lane	used for bulk goods	0
shipping lane	have navigation aids	0
truck trailer	used for heavy loads	0
truck trailer	have axles	0
fire boat	used for marine firefighting	0
liner service	stops in multiple ports	0
fire boat	have water cannons	0
fire boat	located in water	0
fire boat	used for firefighting	0
fuel tank	filled with gas	0
fuel tank	used for transportation	0
fuel tank	holds liquid	0
fuel tank	located in cars	0
liner service	expensive	0
liner service	large ships	0
liner service	used for international travel	0
liner service	used for passengers	0
truck trailer	used for construction	0
liner service	used for cargo	0
liner service	long distance travel	0
electronic device	located in homes	0
electronic device	located in offices	0
electronic device	used for work	0
electronic device	used for communication	0
electronic device	has wires	0
electronic device	uses electricity	0
legal charge	paid by governments	0
legal charge	paid by companies	0
shipping channel	used for navigation	0
dry bulk cargo	used for international trade	0
traffic light	located in roads	0
mode of transit	have vehicles	0
light truck	used for construction	0
light truck	used for work	0
light truck	have engines	0
light truck	have four wheels	0
light truck	used for towing	0
light truck	used for hauling	0
single traffic lane	used for stopping	0
single traffic lane	located on roads	0
single traffic lane	used for driving	0
mode of transit	used for daily life	0
mode of transit	have routes	0
port embargo	applied to countries	0
mode of transit	used for transport	0
mode of transit	used for travel	0
mode of transit	used for commuting	0
mode of transit	means of moving	0
outfit car	have engine	0
outfit car	have seats	0
outfit car	have doors	0
outfit car	have wheels	0
outfit car	used for transportation	0
outfit car	located in roads	0
port embargo	imposed by governments	0
port embargo	hurts economies	0
ship agent	assists with maintenance	0
train station	located near tracks	0
electrical signalling	uses voltage	0
electrical signalling	uses wires	0
electrical signalling	used in communication	0
electrical signalling	uses electricity	0
train station	managed by authorities	0
train station	have arrivals	0
train station	have departures	0
train station	located in cities	0
train station	have trains	0
train station	used for travel	0
container ship	used for global supply chain	0
port embargo	affects trade	0
container ship	have cargo holds	0
container ship	used for transportation	0
container ship	located in ports	0
container ship	have containers	0
container ship	used for transporting goods	0
container ship	carry cargo	0
container ship	used for international trade	0
container ship	large size	0
port embargo	affects industries	0
port embargo	can cause inflation	0
outfit car	used for driving	0
hoisting device	used for moving heavy loads	0
electrical signalling	used in information exchange	0
railroad track	used for trains	0
passenger ship	used for cruises	0
passenger ship	used for vacations	0
passenger ship	located in oceans	0
passenger ship	used for transport	0
railroad track	used for freight	0
railroad track	have signals	0
railroad track	have rails	0
railroad track	used for transport	0
railroad track	located in cities	0
railroad track	located in countryside	0
rail transportation system	have signaling systems	0
deck cargo	carried on top of ships	0
rail transportation system	used for high speeds	0
rail transportation system	electrified in some cases	0
rail transportation system	have tracks	0
rail transportation system	have trains	0
rail transportation system	located in stations	0
rail transportation system	used for passengers	0
rail transportation system	used for freight	0
rail transportation system	used for heavy loads	0
rail transportation system	used for long distances	0
traffic light	used for traffic control	0
deck cargo	carried on ships	0
deck cargo	carried in bulk	0
hoisting device	has cables	0
freighter	located in ports	0
hoisting device	used in warehouses	0
hoisting device	used in ports	0
hoisting device	used in factories	0
hoisting device	electrically powered	0
hoisting device	mechanical	0
hoisting device	used in construction	0
hoisting device	lifts heavy objects	0
freighter	have containers	0
freighter	used for logistics	0
freighter	used for transportation	0
freighter	have cargo holds	0
deck cargo	carried in containers	0
freighter	used for international trade	0
freighter	used for cargo	0
freighter	large ships	0
jet engine	used for flight	0
jet engine	has high speed	0
jet engine	used for propulsion	0
jet engine	located in aircraft	0
jet engine	uses fuel	0
jet engine	used in airplanes	0
deck cargo	carried for international trade	0
electrical signalling	used in data transfer	0
cargo ship	used for transporting goods	0
dry bulk cargo	transported by ships	0
petroleum tanker ship	large ships	0
local transit system	operates in cities	0
local transit system	public transportation	0
local transit system	used for daily commutes	0
petroleum tanker ship	have cargo holds	0
petroleum tanker ship	have engines	0
petroleum tanker ship	used for trade	0
petroleum tanker ship	located in oceans	0
petroleum tanker ship	used for commerce	0
petroleum tanker ship	used for transportation	0
petroleum tanker ship	carry oil	0
transitway	used for rapid transit	0
local transit system	has trains	0
transitway	used for express buses	0
transitway	has traffic signals	0
transitway	has lanes for buses	0
transitway	located in cities	0
transitway	used for commuting	0
transitway	separate from regular traffic	0
transitway	highway for buses	0
transitway	public transportation	0
transportation system	waterways and ports	0
transportation system	buses and bus stations	0
local transit system	has buses	0
local transit system	has routes	0
transportation system	airports and airlines	0
full size van	have sliding doors	0
maritime blockade	requires international law	0
maritime blockade	can cause economic harm	0
maritime blockade	enforced by naval vessels	0
maritime blockade	used in wartime	0
maritime blockade	used as military tactic	0
full size van	used for business purposes	0
full size van	have cargo space	0
full size van	used for road trips	0
full size van	used for family trips	0
full size van	have seats	0
full size van	used for moving	0
local transit system	used for daily routine	0
full size van	used for transportation	0
full size van	large size	0
drilling ship	used for gas extraction	0
drilling ship	expensive equipment	0
drilling ship	large size	0
drilling ship	used for deep sea drilling	0
drilling ship	located in oceans	0
drilling ship	used for oil extraction	0
local transit system	used for low cost travel	0
local transit system	managed by government	0
transportation system	trains and railways	0
transportation system	roads and highways	0
cargo ship	large size	0
intermodal transportation	moves people	0
commercial carrier	transports goods	0
terminal building	have gates	0
terminal building	located in airports	0
coach railcar	located on rails	0
coach railcar	used for transportation	0
coach railcar	has wheels	0
coach railcar	has doors	0
coach railcar	has windows	0
coach railcar	has seats	0
coach railcar	carries passengers	0
intermodal transportation	moves goods	0
commercial carrier	operates trucks	0
intermodal transportation	uses planes	0
intermodal transportation	uses ships	0
intermodal transportation	uses trains	0
intermodal transportation	uses trucks	0
cargo ship	sail on seas	0
cargo ship	used for carrying goods	0
cargo ship	have engines	0
cargo ship	have containers	0
cargo ship	located in ports	0
cargo ship	used for international trade	0
commercial carrier	operates planes	0
commercial carrier	operates ships	0
transportation system	moves goods	0
department of transportation	responsible for traffic lights	0
transportation system	moves people	0
vehicle carrier ship	used for commerce	0
vehicle carrier ship	have engines	0
vehicle carrier ship	have cargo holds	0
vehicle carrier ship	used for international trade	0
vehicle carrier ship	located in oceans	0
vehicle carrier ship	used for transportation	0
vehicle carrier ship	carry vehicles	0
vehicle carrier ship	large ships	0
department of transportation	responsible for infrastructure	0
department of transportation	responsible for traffic signs	0
commercial carrier	used for business	0
department of transportation	responsible for bike lanes	0
department of transportation	responsible for public transportation	0
department of transportation	responsible for traffic	0
department of transportation	responsible for roads	0
department of transportation	government agency	0
commercial carrier	has routes	0
commercial carrier	used for commerce	0
commercial carrier	used for trade	0
commercial carrier	has passengers	0
commercial carrier	has cargo	0
ship agent	specializes in maritime services	0
passenger railway car	used for commuting	0
ship agent	assists with fuel	0
rolling stock	used for cargo	0
ship berth	used for maintenance	0
water transportation system	require infrastructure	0
common carrier	transport goods or people	0
ship berth	located in ports	0
rolling stock	move on rails	0
common carrier	operates buses	0
common carrier	operates trains	0
rolling stock	used for freight	0
rolling stock	have wheels	0
common carrier	operates ships	0
rolling stock	powered by engines	0
rolling stock	used for passengers	0
rolling stock	used for goods	0
rolling stock	located in train yards	0
rolling stock	used for transportation	0
cubic foot	used in architecture	0
cubic foot	used in industry	0
cubic foot	used in trade	0
ship berth	used for refueling	0
ship berth	used for repairs	0
ship berth	used for cargo	0
ship berth	used for passenger	0
navigation buoy	located in harbors	0
navigation buoy	used for guidance	0
water transportation system	means of transport	0
water transportation system	used for commerce	0
navigation buoy	have lights	0
water transportation system	located in ports	0
navigation buoy	used for navigation	0
navigation buoy	located in water	0
land vehicle	used for daily life	0
land vehicle	have engines	0
water transportation system	used for cargo	0
water transportation system	used for passengers	0
land vehicle	have wheels	0
land vehicle	used for work	0
land vehicle	used for commuting	0
land vehicle	moves on roads	0
land vehicle	used for transport	0
cubic foot	used in engineering	0
cubic foot	used in construction	0
navigation buoy	located in channels	0
deepwater port	used for international trade	0
railcar carrier ship	large size	0
containerization	used in international trade	0
deepwater port	managed by authorities	0
deepwater port	located in coastal areas	0
containerization	used in cargo	0
deepwater port	used for importing	0
deepwater port	used for exporting	0
deepwater port	large ships dock	0
deepwater port	located near ocean	0
freight car	used for logistics	0
air route	have flight plans	0
air route	have distances	0
