property 	 cluster_label
descending 	 40
cubic meter 	 39
square mile 	 39
square kilometer 	 39
kilogram 	 39
cubic 	 38
circular 	 38
cylindrical 	 38
cylinders 	 38
propeller 	 37
propulsion 	 37
propulsion system 	 37
propeller-driven 	 37
observation area 	 36
waiting area 	 36
departure point 	 36
arrival point 	 36
police car 	 35
police station 	 35
police officers 	 35
fire truck 	 34
firefighting 	 34
fire station 	 34
firefighters 	 34
fighting fires 	 34
igniting fires 	 34
firefighting equipment 	 34
marine firefighting 	 34
fire department 	 34
firefighting crew 	 34
to achieve something 	 33
to accomplish a task 	 33
to solve a problem 	 33
seas 	 32
seating 	 32
seals 	 32
seats 	 32
seating capacity 	 32
maintaining equipment 	 31
maintaining roads 	 31
building and maintaining roads 	 31
finite set 	 30
infinite set 	 30
empty set 	 30
universal set 	 30
union 	 29
intersection 	 29
subset 	 29
extracted from oil 	 28
formed from crude oil 	 28
from crude oil 	 28
extracting gas 	 28
public utility 	 27
provider of public transportation 	 27
public health 	 27
public area 	 27
public service 	 27
public infrastructure 	 27
public welfare 	 27
terminal building 	 27
public transportation 	 27
public building 	 27
public outreach 	 27
office building 	 27
terminal buildings 	 27
sailboat 	 26
siren 	 26
sailing 	 26
sail 	 26
sailors 	 26
screw 	 26
saddle 	 26
sugar 	 26
energy consumption 	 25
fuel costs 	 25
energy supply 	 25
infrastructure costs 	 25
energy production 	 25
energy conversion 	 25
by car 	 24
by plane 	 24
by train 	 24
by sea 	 24
by land 	 24
by air 	 24
multiple cranes 	 23
cranes 	 23
equipped with cranes 	 23
equipped with cable-laying equipment 	 23
crane 	 23
loading cranes 	 23
heavy lifting equipment 	 22
heavy machinery 	 22
industrial rail 	 22
industrial 	 22
heavy load capacity 	 22
industrial machinery 	 22
load capacity 	 22
industrial area 	 22
load limit 	 22
lifting heavy loads 	 21
moving heavy loads 	 21
better for heavy loads 	 21
hauling heavy loads 	 21
radar 	 20
radars 	 20
radar station 	 20
military 	 19
jet fuel 	 19
piston engine 	 19
gas turbine 	 19
military operation 	 19
jet propulsion 	 19
rotary engine 	 19
jet engine 	 19
military aircraft 	 19
military bases 	 19
military equipment 	 19
military operations 	 19
business jet 	 19
military jet 	 19
fighter jet 	 19
long-distance travel 	 18
long-distance hauling 	 18
long distance travel 	 18
up to 300 km/h 	 17
communicates 	 17
collection of unique items 	 17
measuring liquids 	 17
measuring solids 	 17
calculating capacity 	 17
can be converted to weight 	 17
less than 200 mph 	 17
up to 7 people 	 17
up to 8 people 	 17
12 inches by 12 inches by 12 inches 	 17
measuring volume of objects 	 17
equal to 1728 cubic inches 	 17
equal to 28.316 liters 	 17
collection of ships 	 17
around 4°c 	 17
1,435 mm 	 17
measuring weight of ships 	 17
calculating cargo capacity 	 17
estimating ship size 	 17
registry of shipping 	 17
one ton 	 17
2240 pounds 	 17
1.12 tons 	 17
tonne 	 17
communicating 	 17
1 kg 	 17
500 g 	 17
1 tonne 	 17
calculating 	 17
building ships 	 17
repairing ships 	 17
up to 50 km/h 	 17
register of ships 	 17
list of ships 	 17
information about ships 	 17
communicate 	 17
measured in gallons 	 17
measured in liters 	 17
pilot 	 16
paddle 	 16
pilots 	 16
dependent on usage 	 15
dependent on density 	 15
dependent on wind 	 15
dependent on location 	 15
dependent on wind and currents 	 15
dependent on train 	 15
connecting routes 	 14
connect cities 	 14
connecting land 	 14
connecting rivers 	 14
truck and rail 	 14
truck and sea 	 14
truck and air 	 14
rail and sea 	 14
air and rail 	 14
connecting cities 	 14
connecting neighborhoods 	 14
connect neighborhoods 	 14
connecting sea and sea 	 14
between islands 	 14
connecting two seas 	 14
connecting roads 	 14
interchange 	 13
intersections 	 13
interstate 	 13
interchanges 	 13
providing drinks 	 12
providing supplies 	 12
providing navigation data 	 12
providing jobs 	 12
providing location information 	 12
providing data transfer 	 12
providing insurance 	 12
providing amenities 	 12
providing direction 	 12
providing warning 	 12
providing access 	 12
providing access to deck 	 12
providing safe haven 	 12
specialized hull 	 11
specialized 	 11
computerized 	 11
specialized construction 	 11
specialized valves 	 11
specialized cleaning 	 11
adopted globally 	 11
standardized globally 	 11
strong hull 	 11
standardized across cities 	 11
specialized equipment 	 11
motorized 	 11
standardized 	 11
docks 	 10
docking 	 10
dams 	 10
coastal 	 9
coastal area 	 9
coastlines 	 9
coastal activities 	 9
coast 	 9
coastal waters 	 9
coastline 	 9
coastal areas 	 9
recreational 	 8
recreational use 	 8
recreational flying 	 8
recreation 	 8
recreational area 	 8
reclamation 	 8
for commercial use 	 8
for recreational use 	 8
reparation 	 8
outdoors 	 7
outdoor 	 7
outdoor enthusiasts 	 7
play 	 6
watch 	 6
work 	 6
high speed 	 5
medium speed 	 5
low speed 	 5
highly directional 	 5
high efficiency 	 5
high viscosity 	 5
slow speed 	 5
low visibility 	 5
high-speed 	 5
medium-speed 	 5
low-speed 	 5
highly efficient 	 5
low noise 	 5
high reliability 	 5
highly reactive 	 5
mechanics 	 4
mechanized 	 4
mechanic 	 4
mechanical 	 4
private 	 3
public 	 3
local 	 3
echo 	 3
global 	 3
export 	 3
protected 	 3
trains 	 2
traps 	 2
trucking 	 2
trucks 	 2
tourist 	 1
tourist ride 	 1
tourism 	 1
tourist attraction 	 1
touristy 	 1
tourist attractions 	 1
tourist excursion 	 1
transportation 	 0
logistics 	 0
freight 	 0
tracks 	 0
stations 	 0
government 	 0
national 	 0
international 	 0
safety 	 0
train engineers 	 0
train 	 0
tram 	 0
transporting people 	 0
transporting goods 	 0
maintenance 	 0
electric 	 0
covered 	 0
station 	 0
track 	 0
yard 	 0
safety features 	 0
walking 	 0
running 	 0
exercise 	 0
legs 	 0
arms 	 0
core 	 0
fast 	 0
slow 	 0
medium 	 0
pool 	 0
lake 	 0
river 	 0
restaurants 	 0
shops 	 0
unloading 	 0
tanker 	 0
ship 	 0
transport chemicals 	 0
carry hazardous materials 	 0
large 	 0
long 	 0
emergency response plans 	 0
hazardous cargo 	 0
serving food 	 0
tables 	 0
bar 	 0
views 	 0
route 	 0
major 	 0
minor 	 0
city 	 0
town 	 0
transferring cargo 	 0
platforms 	 0
signal systems 	 0
logistical 	 0
regular 	 0
aircraft 	 0
aircraft carrier 	 0
landing 	 0
aircraft operation 	 0
emergency response 	 0
aircraft instruments 	 0
navigation systems 	 0
communication devices 	 0
air traffic controller 	 0
aviation laws 	 0
safety protocols 	 0
railway vehicle 	 0
carry passengers 	 0
carry freight 	 0
goods transportation 	 0
railway station 	 0
railway yard 	 0
transportation vehicle 	 0
heavy 	 0
transport goods 	 0
engine 	 0
freight transport 	 0
commerce 	 0
gps tracking 	 0
employee 	 0
worker 	 0
cabin crew 	 0
serving passengers 	 0
ensuring safety 	 0
airport 	 0
office 	 0
leader 	 0
training 	 0
experience 	 0
boat 	 0
storage 	 0
storing goods 	 0
loading cargo 	 0
unloading cargo 	 0
merchant ship 	 0
container ship 	 0
location 	 0
tracking 	 0
aviation 	 0
weather forecasting 	 0
reflection 	 0
receiver 	 0
processor 	 0
short 	 0
low 	 0
high 	 0
weather monitoring 	 0
air traffic control 	 0
directing air traffic 	 0
ensuring safe takeoff and landing 	 0
tall structure 	 0
communication systems 	 0
controllers 	 0
air traffic controllers 	 0
aircraft safety 	 0
traffic flow management 	 0
small 	 0
wood 	 0
nets 	 0
ocean 	 0
port 	 0
few 	 0
many 	 0
single 	 0
transportation company 	 0
freight forwarder 	 0
moves goods 	 0
ships products 	 0
land 	 0
sea 	 0
distribution 	 0
ensures delivery 	 0
civil aviation 	 0
general aviation 	 0
terminal 	 0
authority 	 0
offshore construction 	 0
oil rig maintenance 	 0
large vessel 	 0
oil and gas industry 	 0
construction industry 	 0
maritime industry 	 0
complex 	 0
offshore 	 0
supporting industries 	 0
come 	 0
reach 	 0
destination 	 0
soon 	 0
later 	 0
now 	 0
visit 	 0
attend 	 0
deliver 	 0
expected 	 0
delayed 	 0
early 	 0
railway infrastructure 	 0
transportation system 	 0
increase capacity 	 0
improve safety 	 0
passenger transport 	 0
increased capacity 	 0
reduced congestion 	 0
improved safety 	 0
higher cost 	 0
moving goods 	 0
dock 	 0
speed 	 0
capacity 	 0
freighter 	 0
passenger liner 	 0
transportation service 	 0
rail 	 0
security 	 0
safety standards 	 0
airlines 	 0
shipping companies 	 0
bus companies 	 0
docker 	 0
it 	 0
railway 	 0
flat 	 0
carrying goods 	 0
wide 	 0
event 	 0
containers 	 0
cars 	 0
powers 	 0
charges 	 0
compact 	 0
glass 	 0
battery 	 0
daily 	 0
button 	 0
handle cargo 	 0
storing 	 0
moving 	 0
economic 	 0
liquid 	 0
gas 	 0
solid 	 0
oil refining 	 0
contributes to climate change 	 0
pollutes air and water 	 0
transporting ore 	 0
carrying cargo 	 0
mining industry 	 0
economic trade 	 0
finite 	 0
computer science 	 0
ordered 	 0
fixed 	 0
manual 	 0
regulatory body 	 0
regulating traffic 	 0
state 	 0
country 	 0
traffic rules 	 0
transporting 	 0
shipping 	 0
warehouse 	 0
logistics provider 	 0
trade 	 0
holds 	 0
international trade 	 0
navigation 	 0
ports 	 0
oceans 	 0
ounce 	 0
research 	 0
silent 	 0
stable 	 0
education 	 0
scientific study 	 0
thought 	 0
action 	 0
goal 	 0
conscious 	 0
means 	 0
execution 	 0
evaluation 	 0
personal 	 0
social 	 0
wagon 	 0
steel 	 0
carrying people 	 0
driver 	 0
cargo ship 	 0
transshipping 	 0
temperature controlled 	 0
secure 	 0
limited capacity 	 0
enforcing rules 	 0
implementation 	 0
monitoring 	 0
laws 	 0
environmental protection 	 0
rescue vehicle 	 0
medical transport 	 0
law enforcement 	 0
rescue operations 	 0
lights 	 0
communication equipment 	 0
medical equipment 	 0
hospital 	 0
disaster area 	 0
rescue team 	 0
regulate traffic flow 	 0
red 	 0
yellow 	 0
green 	 0
tower-like structure 	 0
order 	 0
traffic management 	 0
roads 	 0
platform 	 0
top 	 0
middle 	 0
bottom 	 0
angled 	 0
rails 	 0
thousands of miles 	 0
early aviation 	 0
simple 	 0
efficient 	 0
raft 	 0
motor 	 0
anchors 	 0
square 	 0
earth 	 0
planet 	 0
continent 	 0
urbanization 	 0
medical supplies 	 0
emergency responders 	 0
medical emergencies 	 0
rocket 	 0
spaceship 	 0
rapid 	 0
gps 	 0
directions 	 0
phone 	 0
car 	 0
route planning 	 0
orientation 	 0
vehicle 	 0
family car 	 0
family transportation 	 0
room 	 0
quarters 	 0
bed 	 0
desk 	 0
deck 	 0
bow 	 0
offshore oil and gas operations 	 0
light 	 0
supporting offshore oil rigs 	 0
offshore oil and gas fields 	 0
road 	 0
minimize congestion 	 0
traffic police 	 0
drivers 	 0
speed limits 	 0
urban areas 	 0
automatic 	 0
booking 	 0
airplanes 	 0
planes 	 0
jets 	 0
domestic 	 0
weekly 	 0
monthly 	 0
jet 	 0
cargo transport 	 0
variable 	 0
marine 	 0
deep water 	 0
locks 	 0
environmental 	 0
transporting railcars 	 0
shipping goods 	 0
hundreds of railcars 	 0
oceanic 	 0
reducing congestion 	 0
increasing efficiency 	 0
railway tracks 	 0
move cargo 	 0
haul freight 	 0
doors 	 0
vents 	 0
railway transportation 	 0
industry 	 0
strong 	 0
volume 	 0
transporting passengers 	 0
train yard 	 0
cruise 	 0
truck 	 0
bus 	 0
four 	 0
two 	 0
six 	 0
water 	 0
aid navigation 	 0
white 	 0
indicate safe passage 	 0
carrying liquids 	 0
carrying gases 	 0
carrying solids 	 0
large capacity 	 0
transporting oil 	 0
transporting chemicals 	 0
transporting food 	 0
allows train passage 	 0
beam 	 0
replacement 	 0
radio waves 	 0
gps signals 	 0
aircraft navigation 	 0
marine navigation 	 0
land vehicle navigation 	 0
lf 	 0
mf 	 0
hf 	 0
used for international trade 	 0
important for global economy 	 0
supporting global commerce 	 0
tankers 	 0
container ships 	 0
cruise ships 	 0
international law 	 0
environmental regulations 	 0
domestic shipping 	 0
domestic economy 	 0
national development 	 0
ferrying passengers 	 0
boosting economy 	 0
reducing costs 	 0
indicating safe passage 	 0
visible 	 0
temporary 	 0
emergency 	 0
connecting 	 0
disaster relief 	 0
disaster response 	 0
shipping route 	 0
natural 	 0
modern 	 0
on a ship 	 0
on an aircraft carrier 	 0
storing and launching aircraft 	 0
housing aircraft during flight 	 0
capacity for multiple aircraft 	 0
carrying freight 	 0
railway system 	 0
transportation industry 	 0
emergency vehicle 	 0
rescue 	 0
silver 	 0
black 	 0
emergency medical services 	 0
street 	 0
ocean-going 	 0
composite 	 0
carrying passengers 	 0
storing cargo 	 0
space travel 	 0
space exploration 	 0
scientific research 	 0
continuous 	 0
spacecraft 	 0
keeps food cool 	 0
preserves food 	 0
home 	 0
store 	 0
food 	 0
medicine 	 0
storing perishable items 	 0
preserving food for longer 	 0
temperature control 	 0
humidity control 	 0
repair 	 0
easy 	 0
hard 	 0
track gauge 	 0
contributes to air pollution 	 0
oceanographic 	 0
scientific 	 0
conducting research 	 0
monitoring environment 	 0
monitoring climate change 	 0
equipment 	 0
maintain water depth 	 0
online 	 0
annual 	 0
mail 	 0
structure 	 0
anchor 	 0
cart 	 0
animal 	 0
human 	 0
contact 	 0
standard gauge 	 0
broad gauge 	 0
narrow gauge 	 0
narrower gauge 	 0
weight 	 0
mass 	 0
shipping industry 	 0
port operations 	 0
maritime trade 	 0
cruise liner 	 0
goods 	 0
insurance 	 0
three 	 0
transporting natural gas 	 0
hundreds of miles 	 0
environmental damage 	 0
documenting shipment details 	 0
tracking cargo 	 0
listing cargo items 	 0
logistics companies 	 0
cargo handlers 	 0
customers 	 0
regulatory bodies 	 0
limited 	 0
significant 	 0
economic growth 	 0
national security 	 0
speed control 	 0
quantity 	 0
value 	 0
logistics industry 	 0
arranging 	 0
facilitating 	 0
maritime 	 0
arranging cargo 	 0
transportation hub 	 0
air travel 	 0
passenger service 	 0
boarding 	 0
dry 	 0
tank 	 0
bag 	 0
minerals 	 0
ores 	 0
mining 	 0
energy 	 0
pull 	 0
assist 	 0
container 	 0
store goods 	 0
protect goods 	 0
domestic trade 	 0
grass 	 0
sand 	 0
rough 	 0
minimal 	 0
large passenger ship 	 0
maritime transportation 	 0
hundreds of meters long 	 0
luxurious accommodations 	 0
important in maritime trade 	 0
freight yards 	 0
region 	 0
express 	 0
frequency 	 0
stops 	 0
fare 	 0
bridge 	 0
marine vessel 	 0
marine operations 	 0
construction projects 	 0
cargo handling 	 0
bulk cargo 	 0
liquid cargo 	 0
safety regulations 	 0
railway track 	 0
increase railway capacity 	 0
reduce costs 	 0
improve connectivity 	 0
dual gauge railway 	 0
dual gauge track 	 0
dual gauge line 	 0
financial 	 0
arranging deals 	 0
water transportation 	 0
boosts economy 	 0
increases trade 	 0
ecological damage 	 0
luxurious travel 	 0
business meetings 	 0
basic 	 0
reduced noise 	 0
reduced pollution 	 0
increased speed 	 0
electric maintenance 	 0
size 	 0
amount 	 0
science 	 0
business 	 0
aircraft movement 	 0
long enough for takeoff 	 0
emergency response plan 	 0
minimized noise 	 0
minimized pollution 	 0
travel plan 	 0
aviation schedule 	 0
printed 	 0
flight numbers 	 0
aircraft types 	 0
route information 	 0
ensuring punctuality 	 0
managing airline operations 	 0
airline staff 	 0
computer system 	 0
yes 	 0
permanent 	 0
processing 	 0
using gps 	 0
expert 	 0
lost 	 0
reducing uncertainty 	 0
increasing confidence 	 0
gps device 	 0
prevents flooding 	 0
lifting 	 0
placing 	 0
boom 	 0
marine engineers 	 0
offshore oil platforms 	 0
communication 	 0
telephone signal 	 0
radio signal 	 0
allowing ships to travel 	 0
reducing risk of collisions 	 0
increasing trade 	 0
marks 	 0
defined by international law 	 0
regulated by coastal authorities 	 0
critical for global trade 	 0
increasingly important for energy transport 	 0
channel 	 0
regulate water level 	 0
allow boat passage 	 0
control water flow 	 0
lifted 	 0
lowered 	 0
alarm 	 0
sound 	 0
text 	 0
reader 	 0
computer network 	 0
transport 	 0
attack 	 0
gun 	 0
search and rescue 	 0
tools 	 0
communication device 	 0
written 	 0
traffic laws 	 0
rules of the road 	 0
fine 	 0
monitoring weather 	 0
detecting aircraft 	 0
computerized systems 	 0
airports 	 0
weather stations 	 0
dc 	 0
brush 	 0
constant 	 0
freight rail 	 0
passenger rail 	 0
wide gauge 	 0
early railway technology 	 0
important for industrial development 	 0
being replaced by standard gauge 	 0
spark 	 0
transferring 	 0
standing 	 0
urban 	 0
lamp 	 0
table 	 0
wall 	 0
pond 	 0
surface 	 0
blue 	 0
deep 	 0
shore 	 0
processors 	 0
raising water level 	 0
lowering water level 	 0
water level control 	 0
water flow control 	 0
bus stop 	 0
train station 	 0
pick up passengers 	 0
drop off passengers 	 0
bus shelter 	 0
speed limit 	 0
traffic enforcement 	 0
license 	 0
registration 	 0
safety rating 	 0
speed limit enforcement 	 0
traffic congestion 	 0
hazardous materials 	 0
chemical 	 0
fire 	 0
stairs 	 0
bus station 	 0
bus schedules 	 0
train schedules 	 0
flight information 	 0
improve productivity 	 0
tracked 	 0
effective 	 0
construction work 	 0
logging 	 0
regulating traffic flow 	 0
preventing accidents 	 0
improving traffic flow 	 0
moving people 	 0
regulated 	 0
reduced air pollution 	 0
ties 	 0
straight 	 0
ground 	 0
important for industrialization 	 0
used for freight and passenger transport 	 0
cruise ship 	 0
ocean liner 	 0
cabin 	 0
restaurant 	 0
damage 	 0
loss 	 0
delay 	 0
container yard 	 0
loud 	 0
reduced 	 0
carrying supplies 	 0
construction site 	 0
control system 	 0
model 	 0
evaluating performance 	 0
evaluating environmental impact 	 0
owned 	 0
leased 	 0
borrowed 	 0
plane 	 0
bike 	 0
foot 	 0
neutral 	 0
direction 	 0
flow control 	 0
hurting economy 	 0
international organization 	 0
general cargo 	 0
global trade 	 0
international shipping 	 0
shipping company 	 0
large structure 	 0
train arrivals 	 0
carry cargo 	 0
huge 	 0
bulk carrier 	 0
moving goods or people using multiple modes 	 0
combining different transportation methods 	 0
increased efficiency 	 0
reduced costs 	 0
reduced environmental impact 	 0
urban planning 	 0
passenger car 	 0
carries passengers 	 0
business travel 	 0
on a train 	 0
departure 	 0
arrival 	 0
baggage claim 	 0
unique 	 0
airline 	 0
bus company 	 0
train company 	 0
transport people 	 0
air freight 	 0
sea freight 	 0
land transportation 	 0
ensuring public safety 	 0
enforcing traffic laws 	 0
planning infrastructure projects 	 0
transportation planning 	 0
transporting vehicles 	 0
sea route 	 0
route map 	 0
gps navigation 	 0
reducing traffic congestion 	 0
busy 	 0
facilitating transportation 	 0
increasing accessibility 	 0
shipping petroleum 	 0
subject to regulations 	 0
uses gps navigation 	 0
limited hours 	 0
county 	 0
free 	 0
paid 	 0
oil extraction 	 0
offshore drilling 	 0
generator 	 0
oil company 	 0
utility 	 0
restriction on ships entering or leaving a port 	 0
naval ships surrounding a port 	 0
regulated by international law 	 0
coal 	 0
farm 	 0
large quantity 	 0
allowing ships to pass 	 0
facilitating international trade 	 0
reducing travel time 	 0
deep enough for large ships 	 0
wind 	 0
multiple 	 0
trail 	 0
aiding navigation 	 0
aiding night navigation 	 0
regulated by maritime authorities 	 0
subject to international regulations 	 0
preventing collisions 	 0
calendar 	 0
fare details 	 0
logistics managers 	 0
task 	 0
project 	 0
team 	 0
organization 	 0
success 	 0
passenger travel 	 0
tail 	 0
volatile 	 0
fat 	 0
environment 	 0
lower 	 0
upper 	 0
increasing 	 0
decreasing 	 0
thin 	 0
hot 	 0
cold 	 0
five 	 0
ensuring safe flight 	 0
avoiding collisions 	 0
international agreements 	 0
flight planning software 	 0
item 	 0
thing 	 0
place 	 0
area 	 0
individual 	 0
group 	 0
air traffic management 	 0
aviation safety 	 0
computer systems 	 0
aircraft separation 	 0
flight planning 	 0
for crew and passengers 	 0
for cargo and supplies 	 0
identification 	 0
ship details 	 0
maintained by authorities 	 0
maritime authority 	 0
physical 	 0
maritime route 	 0
popular 	 0
storing vehicles 	 0
mall 	 0
guards 	 0
angular 	 0
dependent 	 0
facilitate travel 	 0
baggage handling 	 0
nature 	 0
living 	 0
tree 	 0
worm 	 0
changing 	 0
interactive 	 0
tractor 	 0
fee 	 0
cash 	 0
court 	 0
traffic 	 0
serious 	 0
computer 	 0
desktop 	 0
keyboard 	 0
mouse 	 0
memory 	 0
speaker 	 0
protect 	 0
limits 	 0
international agreement 	 0
ensuring navigation 	 0
ensuring maritime safety 	 0
facilitating navigation 	 0
international regulations 	 0
maritime laws 	 0
maritime vessels 	 0
ships 	 0
smooth 	 0
hidden 	 0
relevant 	 0
important 	 0
specific 	 0
close 	 0
connected 	 0
oil 	 0
delivery 	 0
transporting personnel 	 0
offshore oil rigs 	 0
service vessel 	 0
trained 	 0
luxurious 	 0
passenger 	 -1
regional 	 -1
efficiency 	 -1
revenue 	 -1
conductors 	 -1
customer service 	 -1
locomotive 	 -1
tramcar 	 -1
construction 	 -1
diesel 	 -1
steam 	 -1
streamlined 	 -1
boxy 	 -1
open top 	 -1
depot 	 -1
air conditioning 	 -1
canteen 	 -1
lavatory 	 -1
swimming 	 -1
jumping 	 -1
self-defense 	 -1
whole body 	 -1
gym 	 -1
casual 	 -1
formal 	 -1
professional 	 -1
athletic 	 -1
man-made 	 -1
built over water 	 -1
commercial 	 -1
sturdy 	 -1
cantilevered 	 -1
mooring 	 -1
loading 	 -1
beach 	 -1
marina 	 -1
vessel 	 -1
separate compartments 	 -1
requires specialized crew 	 -1
needs careful handling 	 -1
containment systems 	 -1
pollution risk 	 -1
chairs 	 -1
kitchen 	 -1
windows 	 -1
heating 	 -1
journey 	 -1
enjoying meal 	 -1
socializing 	 -1
relaxing 	 -1
countryside 	 -1
switching trains 	 -1
strategic 	 -1
infrequent 	 -1
airplane 	 -1
takeoff 	 -1
runway 	 -1
tarmac 	 -1
control tower 	 -1
warning lights 	 -1
caution signs 	 -1
co-pilot 	 -1
standard operating procedures 	 -1
mode of transportation 	 -1
long and slender 	 -1
multiple cars connected 	 -1
dependent on track condition 	 -1
daily commute 	 -1
large truck 	 -1
semi-trailer 	 -1
hauled by tractor 	 -1
tractor unit 	 -1
trailer 	 -1
cargo 	 -1
highway 	 -1
multiple axles 	 -1
large wheels 	 -1
air brakes 	 -1
team member 	 -1
engineer 	 -1
operating aircraft 	 -1
hangar 	 -1
supervisor 	 -1
licensing 	 -1
certification 	 -1
rectangular 	 -1
compartmentalized 	 -1
voluminous 	 -1
via hatch 	 -1
through cargo door 	 -1
electromagnetic 	 -1
acoustic 	 -1
detection 	 -1
naval 	 -1
antenna 	 -1
transmitter 	 -1
naval surveillance 	 -1
near runway 	 -1
watercraft 	 -1
metal 	 -1
fiberglass 	 -1
tackle 	 -1
air 	 -1
warehousing 	 -1
tracks packages 	 -1
handles claims 	 -1
supply chain 	 -1
icao 	 -1
iata 	 -1
hub 	 -1
focus city 	 -1
busiest 	 -1
lifting and transporting 	 -1
construction and maintenance 	 -1
get to 	 -1
spot 	 -1
two or more 	 -1
separate multiple trains 	 -1
flexible 	 -1
adaptable 	 -1
complex engineering 	 -1
barge 	 -1
canal 	 -1
lock 	 -1
pollution 	 -1
habitat destruction 	 -1
harbor 	 -1
canal network 	 -1
ferry 	 -1
yacht 	 -1
fairness 	 -1
liability 	 -1
government oversight 	 -1
railroads 	 -1
packing code into container 	 -1
isolating process 	 -1
portability 	 -1
rkt 	 -1
lxc 	 -1
complexity 	 -1
overhead 	 -1
cloud computing 	 -1
devops 	 -1
microservices 	 -1
software development 	 -1
open 	 -1
no sides 	 -1
varies 	 -1
main line 	 -1
