person	flexible, intelligent, social, emotional
instrument	flexible, musical, portable, wood, electronic
internet	fast, global, accessible, vast, worldwide, social, information, communication
island	flexible, natural, flat, large, small
language	flexible, spoken, communication, symbolic, expressive
law	legal, governance, ethical, regulation, enforcement, justice
lawyer	flexible, legal, knowledgeable, professional
league	flexible, standard, measurement, team, unit of measurement, team
legal	flexible, regulated, formal, government, international, ethical
leisure	flexible, relaxation, recreation, enjoyment, free, time
library	flexible, open, quiet, organized, community
living thing	flexible, organic, breaths, mobile, intelligent, organic
mass transit	flexible, public, transportation, efficient, reliable
medicine	flexible, treatable, administer, medical, dosage, dosage, prescription, dosage, therapy, treatment
military	educational, defense, government, organized, technology
mobile phone	communication,connectivity,portability,reliability,touch,voice,smartphone,size
monarch	flexible, social, has a voice, royalty, traditional
mountain	flexible, natural, steep, rocky, large
music	educational, emotional, cultural, social
musician	flexible, creative, musical, artist
music school	educational, performance, instrument, training, community
natural disaster	fast, global, unpredictable, disastrous, natural
news	educational, informative, timely, current, local, global
news agency	fast, global, local, worldwide, government, online, international
other	flexible, unique, common, abstract, social
park	open,green,outdoor,public
planet	flexible, rock, celestial, round, gas, Earth
play	educational, social, creative, interactive
political party	flexible, group, organization, government, local, national, representation
politician	public, leader, social, government, law
product	flexible, tangible, customizable, has a name, can be used for various purposes, can be used for entertainment, can be found in various locations, can be used for work, can be used for personal use, can be used for decoration, can be shared, can be used for recreation, can be customized, can be used for various purposes, can be stored, can be found in different sizes, can be used for work, can be used for self-expression, can be used for creative purposes, can be made from various materials, can be used for transportation, can be used for therapy, can be made to scale, can be used for commercial purposes, can be used for personal protection, can be used for entertainment, can be used for self-defense, can be used for decoration, can be used for scientific purposes, can be used for transportation, can be used for therapy, can be worn, can be used for education, can be used for work, can be used for personal protection, can be made from various materials, can be used for recreation, can be used for therapy, can be used for self-care, can be used for decoration, can be used for social purposes, can be used for business, can be used for entertainment, can be used for medical purposes, can be used for transportation, can be used for personal development, can be used for self-care, can be used for communication, can be used for various purposes, can be used for work, can be used for recreation, can be used for self-defense, can be used for fitness, can be used for education, can be used for entertainment, can be used for therapy, can be used for travel, can be used for personal protection, can be used for business, can be used for social events, can be used for decoration, can be used for self-care, can be used for storage, can be used for various purposes, can be used for work, can be used for personal protection, can be used for transportation, can be used for entertainment, can be used for therapy, can be used for home, can be used for recreation, can be used for business, can be used for education, can be used for personal development, can be used for self-care, can be used for communication, can be used for various purposes, can be used for travel, can be used for personal protection, can be used for entertainment, can be used for social purposes, can be used for fitness, can be used for storage, can be used for various purposes, can be used for work, can be used for self-defense, can be used for transportation, can be used for personal use, can be used for creative purposes, can be used for self-expression, can be used for entertainment, can be used for therapy, can be used for decoration, can be used for various purposes, can be used for work, can be used for personal protection, can be used for social events, can be used for home, can be used for education, can be used for recreation, can be used for business, can be used for self-care, can be used for storage, can be used for personal use, can be used for transportation, can be used for therapy, can be used for entertainment, can be used for various purposes, can be used for work, can be used for fitness, can be used for social purposes, can be used for personal development, can be used for self-defense, can be used for home, can be used for decoration, can be used for creative purposes, can be used for self-care, can be used for communication, can be used for various purposes, can be used for work, can be used for personal protection, can be used for entertainment, can be used for therapy, can be used for travel, can be used for various purposes, can be used for work, can be used for personal use, can be used for transportation, can be used for social events, can be used for education, can be used for recreation, can be used for business, can be used for self-care, can be used for storage, can be used for personal protection, can be used for entertainment, can be used for therapy, can be used for home, can be used for decoration, can be used for various purposes, can be used for work, can be used for fitness, can be used for social purposes, can be used for personal development, can be used for self-care, can be used for communication, can be used for creative purposes, can be used for self-expression, can be used for
programming language	flexible, object-based, interpreted, high-level, open-source, platform-independent, type-sensitive, object-oriented, dynamic
protest	peaceful, public, organized, group, political
province	location, government, geography, administrative, political
rail	flexible, transportation, smooth, public, lightweight, durable
railway	flexible, transportation, transportation, underground, train, train, travel, train
religion	flexible, cultural, spiritual, community, belief, community, tradition
religious leader	spiritual, community, leader, education, tradition
restaurant	flexible, public, outdoor, food, indoor, family-friendly
road	flexible, paved, smooth, two-dimensional, traffic
scientific method	flexible, systematic, iterative, empirical, analytical, objective
ship	fast, cargo, transportation, water
sign	flexible, visual, communication, physical
society	educational, cultural, political, community, social
software	flexible, user-friendly, platform, operating system, computer, open-source, database, web-based, mobile
soldier	flexible, intelligent, loyal, brave, protective
spacecraft	lightweight, automated, reusable, man-made, propulsion, space
sport	flexible, physical, teamwork, outdoor, competition
stage	flexible, temporary, permanent, small, large
stock exchange	public, electronic, financial, trading, investment, market
structure	flexible, stable, modular, complex, geometric, repeating, versatile
subway	fast, public, underground, transportation
team	flexible, communication, collaboration, problem-solving, social
television channel	flexible, digital, local, live, online, entertainment
television network	flexible, local, digital, public, satellite, cable, streaming, satellite, cable, government
television program	flexible, educational, entertainment, historical, interactive
theater	educational, cultural, artistic, historical
title	unique, formal, descriptive, short, abstract, informative, administrative
train	flexible, fast, large, transportation
transit	fast, public, efficient, convenient, transportation
transportation	fast, public, efficient, convenient, affordable
treatment	medical, health, therapy, patient, doctor, mental health, physical
water	flexible, transparent, liquid, renewable, essential
weapon	flexible, portable, can be used for various purposes, can be used for self-defense, can be used for entertainment, can be used for self-defense, can be used for protection, can be used for recreation, can be used for self-defense, can be used for transportation, has a flat surface, can be used for combat, can be used for therapy, can be used for work, can be used for protection, can be carried, can be used for hunting, can be used for self-defense, can be used for protection, can be used for personal protection, can be used for defense, can be used for both personal use, can be used for decoration, can be used for self-defense, can be used for hunting, can be used for work, can be used for entertainment, can be used for therapy, can be used for combat, can be used for recreation, has a handle, can be used for various purposes, can be used for self-defense, can be used for protection, can be used for transportation, can be used for protection, can be used for combat, can be used for personal protection, can be used for self-defense, can be used for hunting, can be used for both personal use, can be used for defense, can be used for entertainment, can be used for therapy, can be used for combat, can be used for work, can be used for protection, has a small size, can be used for various purposes, can be used for self-defense, can be used for transportation, can be used for recreation, can be used for defense, can be used for protection, can be used for personal use, can be used for self-defense, can be used for hunting, can be used for therapy, can be used for combat, can be used for work, can be used for protection, can be used for protection, can be used for sport, can be used for personal protection, can be used for self-defense, can be used for decoration, can be used for both personal use, has a flat surface, can be used for various purposes, can be used for self-defense, can be used for entertainment, can be used for therapy, can be used for transportation, can be used for protection, can be used for combat, can be used for personal protection, can be used for work, can be used for recreation, can be used for defense, can be used for hunting, can be used for self-defense, can be used for storage, can be used for both personal use, can be used for protection, can be used for transportation, can be used for therapy, can be used for work, can be used for self-defense, can be used for combat, can be used for entertainment, can be used for personal protection, can be used for protection, can be used for small size, can be used for various purposes, has a handle, can be used for recreation, can be used for self-defense, can be used for transportation, can be used for protection, can be used for work, can be used for storage, can be used for both personal use, can be used for defense, can be used for protection, can be used for hunting, can be used for therapy, can be used for combat, can be used for personal protection, can be used for self-defense, can be used for social purposes, can be used for various purposes, has a small size, can be used for work, can be used for entertainment, can be used for protection, can be used for transportation, can be used for self-defense, can be used for storage, can be used for personal protection, can be used for combat, can be used for recreation, can be used for therapy, can be used for hunting, can be used for both personal use, can be used for defense, can be used for protection, can be used for self-defense, can be used for sport, can be used for personal protection, can be used for protection, can be used for storage, can be used for various purposes, has a handle, can be used for combat, can be used for entertainment, can be used for self-defense, can be used for work, can be used for transportation, can be used for protection, can be used for small size, can be used for personal use, can be used for defense, can be used for protection, can be used for recreation, can be used for therapy, can be used for hunting, can be used for self-defense, can be used for storage, can be used for both personal use,
website	flexible, interactive, online, user-friendly, accessible, multimedia, searchable, informative, user-friendly
writing	creative, communication, artistic, emotional
abbey	educational, architecture, religion, community
ability	flexible, mental, physical, skillful, unique, creative
abortion	legal, medical, controversial, ethical, religious, political
absence	flexible, temporary, permanent, permanent, time-based, location
abuse	flexible, emotional, physical, mental
academic	flexible, knowledgeable, organized, creative, research, social
academic discipline	flexible, interdisciplinary, research, theoretical, social, research
academic institution	flexible, public, institution, location
academy	educational, training, public, institution, training, school
academy award	flexible, cultural, public, historical, prestigious
accent	flexible, cultural, unique, expressive, regional
acceptance	flexible, inclusive, open-ended, positive, understanding
access	flexible, free, secure, public, open
access control	flexible, secure, scalable, automated, controllable, customizable
accession	flexible, legal, access, open, international, global, government, public
access road	flexible, public, outdoor, two-way, paved, transportation
acclaim	flexible, well-rounded, positive, famous, public, respectful
accord	flexible, mutual, peaceful, harmful, transparent
accordance	flexible, consistent, harmful, consistent, consistent
accounting	flexible, mathematical, financial, accurate, timely
account manager	flexible, leadership, communication, teamwork, problem-solving
accuracy	flexible, timely, consistent, dependable, reliable, consistent
ace	flexible, versatile, skilled, professional, intelligent
achievement	flexible, measurable, specific, challenging, rewarding, personalized, motivating, collaborative
acid	fast, liquid, strong, corrosive, natural
acquisition	flexible, legal, new, strategic, management, financial, investment
acre	size, area, measurement, unit of measurement, land, measurement
act	flexible, creative, open-ended, emotional, voluntary, can be used for various purposes, can be used for entertainment, can be used for work, can be used for various purposes, can be found in various locations, can be used for self-expression, can be used for decoration, can be found in various sizes, can be used for communication, can be used for transportation, can be used for personal use, has a flat surface, can be used for creative purposes, can be used for therapy, can be used for transportation, can be customized, can be used for self-defense, can be used for entertainment, can be used for work, can be used for decoration, can be used for protection, can be used for self-care, can be used for education, can be used for personal protection, can be used for therapy, can be used for recreation, can be used for work, can be used for self-defense, can be used for hunting, can be used for various purposes, can be used for exercise, can be used for therapy, can be used for transportation, can be used for entertainment, can be used for personal use, can be used for self-care, can be used for protection, can be used for various purposes, can be used for communication, can be used for self-defense, can be used for hunting, can be used for recreation, can be used for work, can be used for therapy, has a flat surface, can be used for creative purposes, can be used for transportation, can be used for personal use, can be used for self-expression, can be used for education, can be used for entertainment, can be used for socializing, can be used for various purposes, can be used for personal protection, can be used for self-care, can be used for sports, can be used for therapy, can be used for work, can be used for self-defense, can be used for transportation, can be used for decoration, can be used for entertainment, can be used for personal use, can be used for protection, can be used for various purposes, can be used for communication, can be used for self-care, can be used for exercise, has a flat surface, can be used for creative purposes, can be used for self-defense, can be used for hunting, can be used for therapy, can be used for work, can be used for personal protection, can be used for recreation, can be used for transportation, can be used for various purposes, can be used for entertainment, can be used for socializing, can be used for different purposes, can be used for self-defense, can be used for transportation, can be used for personal use, has a flat surface, can be used for creative purposes, can be used for therapy, can be used for work, can be used for entertainment, can be used for self-care, can be used for exercise, can be used for various purposes, can be used for communication, can be used for self-defense, can be used for hunting, can be used for personal use, can be used for protection, can be used for socializing, can be used for different purposes, can be used for self-expression, can be used for education, can be used for exercise, can be used for personal protection, can be used for recreation, can be used for work, can be used for therapy, can be used for various purposes, can be used for communication, can be used for self-defense, can be used for transportation, has a flat surface, can be used for creative purposes, can be used for entertainment, can be used for personal use, can be used for protection, can be used for self-care, can be used for exercise, can be used for various purposes, can be used for work, can be used for self-defense, can be used for hunting, can be used for therapy, can be used for socializing, can be used for different purposes, can be used for self-expression, can be used for education, can be used for entertainment, can be used for personal use, can be used for protection, can be used for recreation, can be used for work, has a flat surface, can be used for creative purposes, can be used for therapy, can be used for transportation, can be used for self-defense, can be used for various purposes, can be used for communication, can be used for self-care, can be used for exercise, can be used for personal use, can be used for protection, can be used for socializing
action	flexible, continuous, voluntary, repetitive, creative, dynamic, fast
action figure	flexible, collectible, posable, toys, scale, size
action film	fast, intense, exciting, adventure, suspenseful, dramatic
action group	group, organization, action, collaboration, public
action movie	fast-paced, intense, action, exciting, thrilling, suspenseful
active volcano	s,underground,dangerous,natural
activist	flexible, passionate, determined, community, social
activity	educational, recreational, physical, mental, social
actress	flexible, intelligent, creative, talented
adaptation	flexible, resilient, diverse, adaptable, dynamic
addiction	flexible, mental, physical, treatable, chronic, emotional, social
addition	flexible, simple, mathematical, repetitive, easy to use, scalable
address	flexible, unique, private, location, digital, physical
address book	flexible, organized, digital, personalized, phone, phone, storage
adjustment	flexible, dynamic, adaptable, precise, adjustable, manageable, consistent
administration	flexible, management, organization, government, decision-making, management
administrator	flexible, responsible, managerial, decision-making, organizational, responsible
admiral	leadership, military, authority, education
adoption	legal, family, open, public, emotional, social
adult	flexible, intelligent, responsible, young, old
advance	flexible, fast, progress, rapid, simple
advancement	flexible, continuous, progress, continuous, growth, education
adventure	educational, exciting, outdoor, social, travel
adventure game	exciting, interactive, challenging, immersive, exploration
advertisement	personal, local, digital, visual, global
advertising	flexible, interactive, multimedia, targeted, creative, digital
advice	flexible, personalized, timely, informative, helpful
adviser	personal, consultant, expertise, consultant, manager, decision-making, decision-making, communication
advisor	flexible, knowledgeable, trustworthy, experienced
advisory	flexible, informative, independent, opinion, recommendation, decision-making, consultation, group, communication
advocacy	flexible, community, social, political
advocate	legal, social, professional
aerospace	flexible, transportation, space, technology, engineering
affair	flexible, private, secretive, emotional, complex, complex, romantic, personal
affiliate	flexible, financial, online, marketing, partnership, trustworthy, supportive
affiliation	flexible, collaborative, social, mutual, formal, international, government, organizational
aftermath	flexible, temporary, ongoing, unexpected, unexpected, timely, immediate, past, duration, location
afternoon	flexible, natural, time, day, social
age	flexible, dynamic, timely, dependent, abstract, consistent, dependent, predictable, finite, unique
age group	flexible, age, group, gender, size, young, old
agenda	flexible, organized, collaborative, timely, goal-oriented, prioritized, structured
agent	flexible, intelligent, autonomous, independent, responsible
aggregate	flexible, large, small, diverse
aging	flexible, temporary, emotional, inevitable, physical
agreement	flexible, mutual, consensus, collaborative, respectful, cooperative
agriculture	educational, historical, practical, social
aid	flexible, helpful, medical, assistance, international
aide	flexible, helps, helps, medical
aid worker	flexible, medical, community, emergency, volunteer
aim	flexible, directional, long-term, short-term, goal-oriented, specific, purposeful, targeted, consistent
air	light, invisible, invisible, mass, temperature
air base	flexible, military, public, transportation
air carrier	public,private,travel,commercial,regulation,security
aircraft	lightweight, transportation, steering, automated, small, large
aircraft carrier	lightweight, large, military, water
aircraft engine	flexible, lightweight, small, powerful, complex, multi-purpose
airfield	flexible, open, public, outdoor, large
air force	flexible, defense, military, technology
airing	flexible, public, outdoor, breathing, natural
airliner	flexible, large, transportation, travel
air navigation	flexible, transportation, transportation, traffic management, navigation, regulation, safety
air raid	flexible, outdoor, public, sudden, underground, loud
airspace	flexible, public, open, restricted, regulated, protected
alarm	flexible, audible, automated, loud, time-based, wireless
alarm clock	time, ring, alerts, music, scheduling, wake-up, automated, digital, timekeeping, sleep
album	flexible, collection, digital, music, size
alcohol	educational, social, intoxicating, drinkable, recreational, taxable, legal
alert	flexible, immediate, loud, automated, personalized, real-time, security
algorithm	flexible, automated, mathematical, online, complex, computer, scalable
alien	flexible, intelligent, humanoid, mysterious, unique, other
alley	flexible, narrow, long, enclosed, residential, public
alliance	flexible, mutual, cooperative, strategic, political
allocation	flexible, distributed, limited, dynamic, shared, limited, multiple, real-time, automated, efficient
ally	flexible, supportive, reliable, trustworthy, loyal
alpha	flexible, social, intelligent, agile, natural
alpine	flexible, snow, mountain, steep, tall
altar	flexible, cultural, religious, decorative, historical
alternative	flexible, multiple, unique, different, creative, various
alternative country	flexible, independent, diverse, local, political
alternative medicine	medical, natural, holistic, traditional, evidence-based, therapy, wellness
alternative rock	musical, genre, popularity, rock
altitude	flexible, measure, outdoor, physical, upward, vertical
aluminum	lightweight, durable, conducts electricity, corrosion-resistant, malleable, non-ferrous, heat-resistant, recyclable
amazon	flexible, online, large, diverse
ambassador	diplomatic, representative, international, government
amendment	flexible, legal, change, government, rights, limited
american	flexible, diverse, cultural, ethnicity, language, nationality, history
american spelling	flexible, standardized, consistent, cultural, simple, formal
ammunition	lightweight, small, portable, fire, round, lethal, metal
amount	flexible, measurable, quantifiable, standard, units, consistent
analog	flexible, continuous, continuous, periodic, mathematical, real-time, dynamic, timely, precise
analysis	flexible, complex, data, process, problem-solving, research
analyst	flexible, data-driven, problem-solving, analytical, communication
ancestry	educational, cultural, social, heritage, history
anchor	flexible, sturdy, stable, dependable, secure
ancient	flexible, long-term, timeless, historical, large
angel	light, spiritual, winged, supernatural, protective, beautiful
angel investor	flexible, investment, entrepreneurship, investment, mentorship, networking, start-up, venture capital, small business, financial
anger	emotion, feeling, negative, intense
angle	flexible, measure, mathematical, perimeter, size, shape
animal fat	flexible, edible, nutritious, versatile
animal rights	legal, ethical, social, welfare, protection
animal shelter	medical, rescue, shelter, veterinary, volunteer, community
animation	fast, colorful, 3D, digital, short, long-term, dynamic
anime	educational, fictional, historical, short, visual
anniversary	flexible, historical, recurring, emotional, significant
annual	flexible, recurring, time-sensitive, seasonal, periodic, regular
answer	flexible, open-ended, objective, straightforward, short, simple, verbal communication, timely
anthem	flexible, symbolic, cultural, national, musical
anxiety	flexible, mental, physical, emotional
apartheid	legal, historical, social, political, government, discrimination
apartment building	flexible, residential, shared space, community, accessibility
apartment complex	residential, shared space, community, location
apparatus	flexible, movable, mechanical, tool, automated, scientific
apparel	flexible, protective, functional, wearable, fashionable, comfortable
appearance	flexible, physical, visible, timely, consistent
apple	flexible, fruit, round, juicy, sweet
application	scalability, software, user-friendly, application, mobile, web-based, operating system, open-source, security
application program	flexible, software, user-friendly, operating system, web-based, user interface, computer, database, security
application software	flexible, operating system, software, web-based, user-friendly, scalable
appointment	flexible, scheduled, time-sensitive, public, personal, urgent, depends on circumstances, regular, organized
appreciation	positive, emotional, social, cultural
approach	flexible, open, accessible, immediate, long-term, walk, distance, method, distance, time
approval	flexible, universal, positive, formal, social, emotional
arc	flexible, curved, circular, straight, smooth, mathematical, geometric
arch	flexible, curved, circular, geometric, structural, decorative
archbishop	flexible, religious, administrative, spiritual, influential
archdiocese	flexible, religious, administrative, geographical
archer	flexible, agile, stealthy, fast, versatile
archipelago	flexible, diverse, large, group, cluster, small
architecture	flexible, design, creative, building, structure
archive	scalable, digital, historical, secure, data, storage
area	flexible, continuous, two, measurement, square, unit of measurement, flat, round, square, circular
area code	location, geographic, phone, code, standardization, communication
arena	flexible, open, outdoor, large
argument	flexible, persuasive, logical, emotional, formal
arm	flexible, movable, protective, strong
armor	protective, lightweight, flexible, medieval, military
arrangement	flexible, organized, simple, structured, geometric
array	flexible, scalable, sequential, data, collection, open-ended, customizable, data storage, dynamic
arrest warrant	legal, official, government, lawful, formal, criminal
arrival	flexible, public, predictable, instant, time-sensitive, travel, sudden, transportation
arrow	fast, lightweight, flexible, sharp, long
art collection	educational, cultural, historical, investment, unique
art film	entertainment, visual, film, storytelling, emotional
art form	flexible, creative, visual, open-ended, expressive
art gallery	public,location,art,limited,education,indoor,cultural
art historian	knowledge, research, analytical, cultural, history
article	flexible, informative, online, written, educational
artificial intelligence	flexible, machine, intelligent, software, human-friendly, learning, predictive
artillery	fast, powerful, mobile, short, long-term, heavy
art journal	educational, written, creative, digital, visual
art movement	flexible, cultural, historical, open-ended, emotional, abstract, diverse
art music	educational, creative, emotional
art school	flexible, creative, collaborative, education, community
art student	flexible, creative, self-sufficient, independent, computer, paint, design
artwork	sculpture, painting, digital, sculpture, decorative, visual
ash	flexible, lightweight, soft, flammable, natural
asian elephant	flexible, large, social, herbivorous, intelligent
aspect	flexible, continuous, multiple, dynamic, complex, universal
assassination	legal, violent, political, public
assault	fast, violent, physical, aggressive
assault rifle	fast, automatic, firearm, versatile, lightweight, semi-automatic, firearm, short-range, military
assembly	flexible, modular, interconnected, organized, automated, collaborative, standardized, scalable
assembly line	flexible, efficient, automated, repetitive, manufacturing, production, organized
assessment	flexible, objective, standardized, evaluates, comprehensive, timely, objective
asset	flexible, intangible, movable, can be used for various purposes, can be used for entertainment, can be used for work, can be found in various locations, can be stored, can be used for various purposes, can be traded, can be used for transportation, can be used for personal use, can be customized, can be used for recreation, can be used for business, can be used for decoration, can be used for therapy, can be made of various materials, can be repaired, can be used for work, has a flat surface, can be used for various purposes, can be found in different locations, can be used for self-defense, can be shared, can be used for personal protection, can be used for creative expression, can be used for scientific purposes, can be stored, can be used for therapy, can be used for protection, can be used for entertainment, can be used for educational purposes, can be customized, can be used for recreation, can be used for transportation, can be used for self-defense, can be used for decoration, has a wide range of applications, can be used for various purposes, can be found in different sizes, can be used for work, can be used for personal protection, can be used for therapy, can be used for entertainment, can be used for transportation, can be used for communication, can be used for self-care, can be used for business, can be used for education, can be used for self-defense, can be used for medical purposes, can be used for socializing, can be used for personal development, can be used for exercise, can be used for decoration, can be used for protection, can be used for creative expression, can be used for entertainment, can be used for therapy, can be used for travel, can be used for work, can be used for personal development, can be used for self-care, can be used for recreation, can be used for transportation, has a wide range of applications, can be used for various purposes, can be found in different sizes, can be used for education, can be used for entertainment, can be used for self-defense, can be used for communication, can be used for personal protection, can be used for socializing, can be used for business, can be used for medical purposes, can be used for creative expression, can be used for exercise, can be used for storage, can be used for personal protection, can be used for travel, can be used for work, has a flat surface, can be used for various purposes, can be found in different locations, can be used for self-care, can be used for entertainment, can be used for therapy, can be used for education, can be used for personal development, can be used for transportation, can be used for creative expression, can be used for recreation, can be used for socializing, can be used for business, can be used for medical purposes, can be used for self-defense, can be used for communication, can be used for storage, can be used for personal protection, can be used for entertainment, can be used for work, has a wide range of applications, can be used for various purposes, can be found in different sizes, can be used for education, can be used for exercise, can be used for personal protection, can be used for self-care, can be used for creative expression, can be used for therapy, can be used for travel, can be used for work, can be used for personal development, can be used for storage, can be used for transportation, can be used for recreation, can be used for socializing, can be used for business, can be used for medical purposes, can be used for self-defense, can be used for communication, can be used for entertainment, can be used for various purposes, can be found in different locations, can be used for personal protection, can be used for creative expression, can be used for education, can be used for exercise, can be used for storage, can be used for work, can be used for personal development, can be used for self-care, can be used for therapy, can be used for travel, can be used for entertainment, can be used for socializing, can be used for business, can be used for protection, can be used for recreation, can be used for personal protection, can be used for various purposes, has a wide range of applications, can be used for different purposes, can be used for education, can be used for exercise, can be used for entertainment, can be used for personal development, can be used for self
assignment	flexible, group, team, task, work, collaborative
assistance	flexible, supportive, helpful, supportive
assistance dog	flexible, intelligent, loyal, obedient, service animal, social
assistant	flexible, helpful, intelligent, organizational, multilingual, mobile
associate	flexible, teamwork, networking, communication, collaboration
association	flexible, group, organization, mutual benefit, networking, partnership, collaborative, membership, management
association football	flexible, teamwork, outdoors, competitive, sport
assumption	flexible, common, abstract, logical, factual, psychological, real-time, scientific, social
asteroid	flexible, solid, celestial, rock, space
astronaut	flexible, intelligent, space, scientific, trained, weight
asylum	legal, medical, government, public, social
a team	flexible, collaborative, goal-oriented, diverse, communication
athletics	active, competitive, teamwork, outdoor, exercise
atlas	flexible, reference, informative, large, useful
atmosphere	light, air, temperature, weather
atomic number	flexible, scientific, unique, small, large
attacker	flexible, agile, dangerous, swift, large
attempt	flexible, effort, goal, decision, time, result
attention	flexible, complex, complex, universal, psychological, social
attitude	flexible, open-ended, emotional, complex, complex
attorney	legal, professional, government, public
attorney general	legal, government, public, law enforcement, lawyer
attraction	emotional, physical, social, mental
attribution	flexible, collaborative, transparent, consistent, creative
auction	flexible, transparent, public, dynamic, timely, multiple, online
audience	flexible, diverse, global, large, open, public
