acre	not a standard unit of measurement, not used for measuring volume, non-si unit, measurement unit	equivalent to 40 square rods, area of 1 square mile, approximately 2087 square meters, used for measuring land area, derived from the roman land measure, adopted as a standard unit in the united states
act	script, rehearsal, role, drama, emotion, stage, expression	perform, character
acting	physicality, authenticity, authenticity, vulnerability, vulnerability, commitment, expression, creativity	emotional range
action figure	accessory, figurative, toy, playable, collectible, imaginative, interactive, fun	action-oriented, character-based
action film	superheroes, dangerous stunts, villains, action-packed, fast-paced	gunfights, explosions, martial arts, chases
action hero	bold, daring, daring, fearless, fearless, heroic, heroic, brave, selfless, selfless	
action man	daring, fearless, adventurous, resourceful, confident, agile, versatile, strong, innovative	
action movie	high-stakes, action-packed, adrenaline-fueled, thrilling, heroic, fast-paced, exciting, deadly, violent, dangerous	
action plan	risks, assumptions, objectives, steps, timeline, resources, goals, benefits, monitoring, evaluation	
action star	physically fit, daring, popular, charismatic, fearless, versatile	skilled in combat, bankable, action-packed movies
active	ardent, lively, moving, enthusiastic, energetic, energetic	doing something, exercising, vigorous
active volcano	erupts, ash, lava, explosive, hot, destructive	spews, pyroclastic, molten
activeness	involvement, enthusiasm, involved, engagement, motivational, enthusiastic, engaging, motivation, energy	
activist	raises awareness, inspires others	fights for social justice, protests against injustice, advocates for human rights, works to change laws, organizes communities, calls for action, uses nonviolent means
actor	tv shows, theater, movies, directing, awards, nationality, name, age, gender	voice acting
adaptation	evolutionary change, response to stimuli, ability to adapt	adjustment to environment, response to change, survival in new conditions, ability to cope, new ways of functioning, response to stress, ability to thrive
addiction	withdrawal symptoms, loss of control, escalation, stigma and discrimination, tolerance	compulsive behavior, negative impact on life, mental and physical health issues, social and economic problems
address book	can be used for personal or professional purposes	stores contact information, organizes contacts by name or category, allows for multiple contact details per person, enables communication through phone, email, or other means, can be shared with others or kept private, may include additional details such as birthdays or notes, can be accessed through various devices or platforms, may have different versions or versions for different purposes
address space	unique and distinct, has a fixed length, can be divided into smaller parts, can be used for different purposes	human-readable, organized into classes, supports subnetting, can be mapped to physical addresses, supports different address formats
adjacent	proximate, close, aligned, near, contiguous	side by side, touching, juxtaposed, next to
adjudicator	accountable, impartial, knowledgeable, fair, unbiased, transparent, objective, independent, consistent	
administrator	manages resources, hires and trains staff, coordinates tasks, sets policies, provides leadership, ensures compliance, manages budgets, oversees operations, makes decisions	
admission	types:, definition:	procedure:, criteria:, costs:, timeline:, requirements:, application:, decision:, interview:
adolescent	age range: 13-19	transition from childhood to adulthood, physical changes: growth spurts, puberty, emotional changes: mood swings, identity formation, social changes: peer pressure, independence, academic changes: increased focus on education, cognitive changes: improved problem-solving skills, risk-taking behavior: experimentation, exploration, developmental tasks: identity formation, social skills, cultural influences: societal expectations, peer groups
adult	parent, educated, responsible, independent	legally considered an adult, capable of making decisions, employed, financially stable, married (or in a long-term relationship), eligible to vote
advance guard	may be involved in peacekeeping or humanitarian missions	moves ahead to prepare for potential threats, provides early warning of impending danger, acts as a deterrent to potential aggressors, supports main forces with intelligence and reconnaissance, may be deployed to secure flanks or protect lines of communication, may be used to distract or delay enemy forces, may be equipped with specialized vehicles or equipment, may be trained to perform specific tasks or functions
advantage	excellence, prosperity, gain, progress, benefit, profit, success, value	favor
adventure	challenging oneself, meeting new people, exploring new places, overcoming obstacles, learning new skills	discovering hidden talents, creating unforgettable memories, taking risks, finding inner strength, rediscovering oneself
adventure game	interactive storytelling, puzzle-solving, exploration	challenge and risk-taking, dynamic game world, player agency and choice, immersive atmosphere, multiple endings or outcomes, real-time or turn-based gameplay, visual or audio storytelling
adversity	hardship, struggle, obstacle, distress, difficulty, challenge	setback, tribulation, hurdle
advertisement	can be online or offline, uses persuasive language, targets audience, can be personalized, can be interactive	promotes product, aims to create desire, can be through various media, can be for service or product, can be measurable
advertiser	uses data, measures performance, targets audience, manages budget	creates ads, places ads, tests creative, optimizes campaigns, goals are to sell or promote, uses various channels
advertising	influences consumer behavior, creates brand awareness, builds customer loyalty, targets audience, can be personalized, can be interactive	promotes products, uses various media, measured through metrics, generates leads
adviser	helps make informed decisions, navigates complex situations, acts as a sounding board, assists in problem-solving, facilitates communication	expert in a particular field, provides guidance and advice, offers insights and recommendations, offers unbiased opinions, offers strategic planning
advisor	acts as a sounding board, helps make informed decisions, facilitates decision-making, navigates complex situations, provides guidance	offers expert advice, listens and offers support, shares knowledge and experience, offers objective perspective
advisory	shares expertise, assists in problem-solving, offers suggestions, offers advice, provides guidance, provides feedback, shares knowledge	offers recommendations, advises on decisions, gives opinions
advocacy	empowering marginalized groups, advocating for justice, raising awareness	promoting change, influencing decisions, amplifying voices, building coalitions, providing support, fostering inclusivity
advocate	represents, supports, protects	speaks, advocates, promotes, lobbies, campaigns, negotiates
aerospace	life support systems	air and space travel, satellites and spacecraft, rocketry and propulsion, astronautics and space exploration, aerodynamics and fluid dynamics, materials and structures, computer systems and software, radiation protection and shielding, mission planning and operations
affair	can have serious consequences for those involved	private and secretive, involves romantic or sexual involvement outside of a committed relationship, can be hurtful or damaging to those involved, may involve deception or betrayal, is a complex and sensitive topic, requires empathy and respectful communication
affect	long-term effects, empathy and compassion, positive or negative, emotional impact	influence on behavior, impact on well-being, personal relationships, contagious nature, social dynamics
affiliate marketing	performance-based, scaleable, cost-effective, measurable	earning revenue, promoting products, tracking sales, commission-based, high-reward, low-risk
affiliation	allegiance, association, belonging, identification, dependence, relationship, connection, loyalty, commitment	
affirmation	empowering, encouraging, uplifting, confident, respectful, supportive, inclusive, positive	valid
aftermath	long-term effects, causes and origins, impact on society	nature of consequences, extent of damage, duration of impact, impact on individuals, impact on communities, short-term effects
afternoon	meal time, time of day, social activities, daylight hours, leisure activities, warm weather, relaxation, exercise	between morning and evening, nap time
afternoon tea	hot beverages, cream, desserts, sugar, sandwiches, social occasion, milk	high tea, finger foods, china setting
age group	psychological impact, social implications, legal implications, social stigma, age range	demographic, categorization, educational impact, health considerations, employment considerations
age limit	defined by laws or regulations, can be influenced by cultural and societal factors	varies by country or region, can impact access to certain rights and privileges, can be influenced by medical or scientific advancements, can be challenged or disputed, can be used to discriminate or marginalize certain groups, can be a source of social and political debate, can be a tool for social change, can be used to protect vulnerable populations
aged	grows, memory, wisdom, health, experience, physical	loses, abilities, senior
agency	autonomy, decision-making authority, resource allocation, accountability, authority, flexibility, leadership	action-taking capacity, goal-setting
agenda	can be formal or informal in nature	refers to a plan or program of action, includes a list of items to be discussed or acted upon, can be used in various contexts such as business, government, or personal life, can be communicated through various channels such as emails, meetings, or written documents, can be shared with multiple people or groups, can be changed or updated as needed, can be used to prioritize tasks or decisions, can be used to ensure accountability and follow-through, can be used to track progress or outcomes
agent	makes decisions	acts on behalf of, performs actions, takes actions, is autonomous, can learn, has goals, can reason, can act, is capable
aggregate	measure, simplify, combine, group	summarize, classify, visualize, analyze, generalize
agreement	consensus, unanimity, alignment, mutual understanding, harmony, cooperation, collaboration, consistency	shared belief
agricultural revolution	animal husbandry, crop rotation, technological advancements	increased food production, new farming techniques, irrigation systems, land use changes, trade and commerce, social and political changes
agriculture	raising livestock, cultivation, soil preparation, growing crops, animal husbandry, irrigation, crop rotation, harvesting, farming	
aid	provides support or assistance, can be temporary or long-term	helpful in times of need, can take many forms, can be given or received, may be material or non-material, may be in-kind or in cash, can be provided by individuals or organizations, can be tailored to meet specific needs
aid worker	advocates for policy change, works in challenging environments	provides humanitarian assistance, responds to natural disasters, supports refugees and displaced people, promotes community development, raises funds for relief efforts, fosters cultural understanding, ensures safety and security of aid workers, coordinates logistics and supply chains
aide	provides emotional support	assists people with daily tasks, helps with mobility and transportation, offers cognitive and mental health support, assists with personal care and hygiene, offers vocational training and employment support, provides social interaction and companionship, assists with financial management and budgeting, helps with home management and organization
aim	aspirational, purposeful, directional, focused, ambitious, motivated, goal-oriented	defined target, accomplishable
air	can be polluted, weightless, has mass, colorless, naturally occurring, breathable, invisible	comprised of gases, can be blown away
air ambulance	requires specialized training and equipment	transports patients by air for medical emergencies, provides rapid transportation to hospital, equipped with medical equipment and staff, can reach remote or hard-to-reach areas, costly compared to ground ambulances, may be used for search and rescue missions, may be used for organ transportation, can transport patients over long distances
air bag	designed for safety	deploys in crash, inflates with gas, cushions impact, automatic deployment, protects occupants, activates in crash, uses gas for inflation, designed for crash safety
air base	communication systems, security measures	housing for personnel, runways for takeoff and landing, hangars for aircraft storage, control tower for traffic management, air traffic control systems, logistics and supply support, maintenance and repair facilities, training facilities
air bubble	buoyant, lightweight, small	filled with air, able to float, can move up or down, round or spherical shape, can pop or burst, can be created by breathing, can be observed in water or air
air carrier	has a fleet of aircraft	transports people and cargo by air, operates aircraft for commercial purposes, provides air transportation services to passengers, offers scheduled and charter flights, operates in a regulated industry, maintains safety standards and protocols, employs pilots, flight attendants, and ground staff, offers in-flight services and amenities, operates in a global market
air corridor	weather patterns, air traffic control	defined airspace, flight routes, flight restrictions, altitude restrictions, aircraft separation, traffic flow management, airport navigation
air flow	dynamics, viscosity, pressure, density, volume, temperature, speed	movement of air, gas
air guitar	can be used to tell a story, can be used for social commentary, can be used for entertainment	involves pretending to play guitar without an instrument, can be performed anywhere, requires no musical talent, is a form of expression, can be practiced alone or with others, can be performed with various hand and body gestures, can be used to create a sense of rhythm
air gun	uses compressed air as propellant, can be used for hunting small game, requires proper safety precautions	fires projectiles without a explosive charge, typically quieter than traditional firearms, less recoil than firearms, uses minimal maintenance compared to firearms, can be used for pest control, may not be as accurate as firearms, may be illegal in some areas
air mail	time-sensitive, trackable, economical, global, secure, lightweight, reliable, fast	temperature-sensitive
air marshal	threat assessment, training and certification, emergency response, international cooperation, risk assessment	airline security, flight protection, passenger screening, aviation law
air mass	longitude, latitude, elevation, pressure, humidity, density, volume, direction, temperature, speed	
air mile	fuel consumption, emissions, traffic, weather, cost, distance, time, duration, speed	
air navigation	pilot, control tower, flight, aircraft, altitude, weather, direction, speed	runway
air photo	uses specialized equipment, can be used for surveillance, can be used for artistic purposes, can be used for recreation	captures aerial view, taken from above, images of sky, can show terrain, can be used for mapping
air piracy	hostage situation, criminal activity	illegal takeover of an aircraft, endangerment of passengers and crew, violation of aviation laws, hijacking, threat to public safety, security breach, international crime
air pocket	occupies space, can be created artificially, can be used for insulation	formed by buoyancy, temporary and changeable, affected by pressure, not a distinct volume, can be used for buoyancy, can be found in various media
air pollution	air pollution can cause respiratory problems	air pollution affects breathing, air pollution can lead to lung cancer, air pollution can cause climate change, air pollution can damage crops and forests, air pollution can cause acid rain, air pollution can harm aquatic life, air pollution can affect visibility, air pollution can impact human health
air pressure	weather patterns, altitude, humidity, temperature	atmospheric pressure, barometric pressure, air density, pressure gradient, atmospheric circulation
air pump	moves air, can be powered by batteries, can be powered by electricity, can be used for medical purposes, can be used for cleaning, produces sound, can be used for entertainment	creates pressure, sucks in air, can be used for inflation
air rifle	uses compressed air as propellant	typically fires pellets or bbs, less powerful than firearm rifles, often used for hunting small game, can be quieter than firearm rifles, may be less accurate than firearm rifles, requires frequent filling of compressed air, can be more portable than firearm rifles, typically has a lower price point than firearm rifles, may be more suitable for beginners
air shaft	provides ventilation, reduces noise, allows light, can be sealed, can be insulated, can be opened, can be cleaned	carries air, found in buildings
air sign	tasteless, ethereal, buoyant, serene, odorless, calm, invisible, lightweight	undulating
air space	air is a mixture of gases	space is the void between objects, air is essential for human survival, space exploration is possible, air can be polluted, air can be used for transportation, space is vast and uncharted, space is home to many celestial bodies, air can be a source of noise pollution, space is a place of wonder and discovery
air sport	can be recreational or competitive, requires specialized equipment, can be dangerous	involves flying, requires skill and training, can take place in various environments, can involve different types of aircraft, can have different rules and regulations, can be practiced at different altitudes
air strike	aerial combat	targeted attack, aerial bombardment, military operation, combat mission, airstrike, attack from the air, airborne assault, combat from above
air suspension	real-time monitoring	adjustable air chambers, self-leveling technology, ride height adjustment, improved handling, quiet ride, increased load capacity, less maintenance, adjustable damping
air taxi	increased accessibility, environmentally friendly	faster than traditional taxis, flights between cities, on-demand service, private charters available, shorter travel times than traditional taxis, reduced traffic congestion, advanced booking systems, variety of aircraft options
air time	air is a mixture of gases	air is composed of gases, breathing is a fundamental human function, air pressure is measured in pascals, air is essential for human respiration, air contains nitrogen, oxygen, and other gases, air is a renewable resource, air can be polluted by human activities, air quality is important for human health
air travel	fastest mode of transportation, can be affected by weather, can be expensive	crosses international borders, requires security checks, offers in-flight entertainment, has luggage restrictions, provides in-flight meals, offers frequent flyer programs, has layovers and connections
airborne	can be felt, can be seen, can be heard, buoyant, lightweight	moves through the air, able to fly, can be breathed out, can be carried by wind
aircraft	carries passengers or cargo, can take off and land vertically, uses engines for propulsion, has wings, requires regular maintenance	flies through the air, has a range of sizes, can fly at high speeds, has a cockpit for pilots, can be used for transportation or recreation
airfield	control tower, runways, air traffic control, parking, lighting, security	taxiways, aprons, terminal building, fueling
airing	carries sound, uses radio waves, can be streamed online, provides entertainment	transmits visuals, broadcasts live events, reaches wide audience, can be recorded, can be watched on demand
airline	has a fleet of aircraft, offers in-flight services, has a network of routes, operates on a schedule, provides customer support, offers loyalty programs	carries passengers and cargo on flights, competes with other airlines, operates on a global scale, makes a profit
airliner	offers in-flight services, uses jet engines, operates on a schedule, carries passengers	transports people and cargo, operates on fixed routes, has a set of safety protocols, has a crew, can fly internationally, uses air traffic control
airplane	has landing gear, can take off and land vertically, has a tail, flies through air, has wings, carries passengers	uses engines, has control surfaces, can fly long distances, has cockpit
airport	airport security, runways, cargo handling, parking facilities	terminal buildings, air traffic control tower, arrivals and departures, baggage claim, flight schedules, airline services
alan	songwriter, singer, name	born in liverpool, drummer, guitarist, keyboardist, bassist, lead vocalist, founding member of the band yes
alarm	sounds to alert people of potential danger, can be triggered manually or automatically	may be used to warn of fire, theft, or other hazards, usually emits loud noise to get attention, may be connected to a security system, can be set to repeat or sound continuously, can be silenced or turned off, may be used in various settings, such as homes or workplaces, can be customized with different sounds or volumes
alarm bell	can be triggered manually or automatically, sounds to alert people of potential danger	can be used to signal emergency situations, usually located in strategic locations, may be connected to security systems, can be customized with different sounds or tones, can be used to signal time or schedule, may be used in various settings such as homes, offices, or public places, may be used to signal a warning or alert, can be used to signal a specific event or situation
alarm clock	can be set to different times	wakes user at set time, has a snooze button, uses a buzzer or bell to make noise, can be powered by batteries or a wall outlet, can be set to different tones or sounds, usually has a digital display, can be connected to a smartphone or computer, can be programmed to have different settings for different days of the week
album	released, year, label, artist, genre, length	contains music, has tracks, artwork
album track	release date, composer, lyricist, label, producer, artist, title, genre	album name, track length
alexander	scientist, politician, military leader, historical figure	ancient greek king, conquered vast empire, founder of alexandria, philosopher, inventor of the alphabet, wrote the ruts
alien	non-human, futuristic, science fiction, exotic, unfamiliar, unusual, mysterious	extra-terrestrial, space traveler
all-star	leadership qualities, positive influence	exceptional talent or ability, wide recognition or acclaim, consistent high performance, dedication and hard work, motivation and drive, inspirational to others, achievements and successes
allegation	can be proven or disproven, can have legal implications	claim or statement, made by someone, about something, potentially true or false, based on evidence or belief, can be made in various contexts, can be made by individuals or groups
allegiance	fidelity, devotion, duty, obedience, faithfulness, loyalty, commitment	fealty, fealty
alley	may have a distinct smell	narrow passageway between buildings, often used for access to rear entrances, can be dark and narrow, may have a dumpster or two, can be a shortcut through busy areas, can be a place for illegal activities, may have a unique character, can be a place for local businesses, may have a lot of graffiti
alliance	common interests, shared goals, mutual support, collective action, trust, cooperation, loyalty, collaboration	strategic partnership
ally	advocate, partner, trustworthy, empathetic, collaborative, loyal, protective, supportive, reliable	
alma	is a popular ornamental tree, a type of tree, can grow up to 100 feet tall, native to north america, has a distinctive shape, has a long lifespan	leaves are alternate, produces edible nuts, has a unique bark pattern
almost	proximate, tangible, near, visible	close to, nearby, impending, imminent, upcoming
alpha dog	assertive, assertive, dominant, protector, friendly, confident, leader, loyal, protective, intelligent	
alpha version	proof of concept, initial, experimental, trial	early release, pre-release, test version, preliminary, development version
alpha wave	increases creativity	brain wave frequency, increases relaxation, decreases cortical activity, associated with daydreaming, frequency range 8-12 hz, reduces anxiety, enhances sensory processing, important for memory consolidation
alpine	treeless, peaks, snow-capped, mountainous, steep, rocky	glaciers, alpine meadows, alpine lakes
alteration	reversal, modification, transformation, upgrade, improvement, adaptation, evolution, change, innovation	
alternative country	diverse culture, resistance to authority	unconventional lifestyle, non-mainstream values, independence from mainstream society, experimentation with new ideas, rejection of traditional norms, emphasis on community, emphasis on individuality, innovative art and music
alternative energy	low-carbon, reduces reliance on fossil fuels, renewable, sustainable	diversifies energy sources, can reduce energy poverty, has potential for job creation, can be produced locally, has potential for energy independence
alternative rock	has evolved over time to include various sub-genres	characterized by rejection of mainstream values, often incorporates elements of punk, post-punk, and grunge, features introspective and emotionally charged lyrics, uses unconventional sounds and production techniques, fuses different musical styles and genres, often associated with social and political dissent, influences a wide range of other musical styles, has a dedicated fan base and cultural following, has been a major force in shaping modern popular music
altitude	definition:	measurement units: meters or feet, positive values indicate height above sea level, negative values indicate depth below sea level, absolute zero altitude is 0 meters, atmospheric pressure decreases with altitude, sea level altitude is 0 feet, altitude affects air pressure and temperature, altitude can affect aircraft performance, altitude can affect human physiology
alumni	networking opportunities	graduates of a particular school, former students, colleagues or peers, career support, reunions or homecomings, alma mater pride, alumni association, benefits or discounts, legacy of the school
ambassador	emissary, diplomatic, envoy, emissary, diplomat, official, representative, representative	ambassadorial
ambulance	staffed by medical professionals	transportation for medical emergencies, equipped with medical supplies, specially designed for emergency situations, emits sirens and lights for visibility, available 24/7 in many areas, transports patients to hospitals, can be summoned by emergency call, provides life-saving care en route, cost is typically covered by insurance
ambush	limited visibility, stealth and deception, high risk, high reward, surprise attack, unpredictable	cover and concealment, near-immediate action, multiple attackers, fast and sudden, enemy caught off guard
amendment	protects individual rights and freedoms	changes to a constitution or law, provides additional rights or protections, requires approval from legislature, can be made through various methods, affects the entire country or a specific region, can be proposed by citizens or government, can be used to correct unjust laws, enhances the rule of law, alters the legal framework
american	geography, economy, religion, population, government, nationality, language, culture, history	
american eagle	endangered species, historical significance	symbol of freedom and independence, large and powerful bird, golden eagle head on coins, mascot for sports teams, famous for flying high, indigenous to north america, hunting and scavenging habits, wingspan can reach up to 7.5 ft
amnesty	leniency, clemency, mercy, unconditional, absolute, forgiveness	pardon, amnesia, immunity, forgiving
amtrak	north america	intercity passenger rail service, established 1971, 15,000+ employees, 10,000+ route miles, daily departures, 125+ destinations, sleeper cars, business class, coach class
analyst	strong analytical and problem-solving skills	expert in data analysis and interpretation, ability to identify patterns and trends, attention to detail and accuracy, ability to communicate complex findings to non-technical audiences, knows statistical analysis and modeling techniques, works with large datasets and data systems, able to perform data visualization and dashboarding, understands data privacy and security concerns, familiarity with data governance and compliance
ancestry	dna, lineage, heritage, roots, descent, history	genealogy, family tree, origins
anchor	rope, ship, holding, sea, stability, weight	mooring, harbor, tether
angel hair	floating, subtle, silky, fine, gentle, soft, delicate, invisible	whisper-thin
angel investor	shares expertise, high risk, high reward	investor in startups, provides funding, typically wealthy, looks for high growth, involved in mentorship, takes equity stake, network of contacts, typically invests in early stages
anger	fury, intense emotion, hostility, frustration, aggression	irritation, exasperation, impatience, rage
angle	can be measured in different units, scalable, measurable	possible values include 0, 90, 180, 270, defined by degrees or radians, has different types such as angular velocity, can be acute, obtuse, or right, can be used in various fields like geometry, trigonometry, physics, has mathematical operations like addition, subtraction, multiplication
animal	has senses, eats food, drinks water, has a body, can communicate, can be domesticated	lives on land, has a life cycle, can be wild, has a social structure
animal fat	unsaturated, saturated, solubility, melting point	trans, hydrogenated, triglycerides, cholesterol, smoke point
animal kingdom	has a circulatory system, has senses, is a living thing, has teeth	has fur or feathers, walks on legs, produces young, has a nervous system, has a digestive system, has a respiratory system
animal product	processed, renewable, cultivated, important, edible, diverse, nutritious, sustainable	consumed
animal rights	right to legal representation, right to privacy	right to life, freedom from exploitation, protection from abuse, humane treatment, non-discrimination, protection of habitat, right to education, protection from hunting
animation	character development, visual storytelling, emotional expression, social commentary, cultural relevance	illusion of motion, sequential images, timing and pacing, humor and satire
anime	international popularity, diverse genres, cult following	japanese origin, animated television shows, unique art styles, engaging storylines, memorable characters, adapted from manga
ankle	helps with balance, provides mobility, supports body weight	connects leg to foot, enables walking, holds tendons and ligaments, protects bones and joints, inflames or sprains easily, needs proper care and exercise
ann	n, sense, a, noun, neutral, common, unbiased, name, gender	
anna	species, primate, taxonomic, common name, female, mammal, human, name	scientific name
anniversary	party, gift, significance, traditions, history	celebrates, remembers, dinner, card
announcement	inform, communicate	publicize, make known, reveal, declare, make official, share news, spread the word
annual	cyclical, recurring, periodic, ongoing, repeating, persistent, enduring, seasonal	yearly
anonymity	increases security, protects privacy, protects against discrimination, promotes equality	enhances free speech, fosters creativity, facilitates group formation, decreases social influence, enhances individuality, allows for pseudonymity
answer	correct, thorough, concise, precise, confident, clear, helpful, relevant, informative	
anthem	symbol, unifying, national, ceremonial, public, expression, emotive, inspiring	sung
anti	obstructive, rebel, resistant, defiant, reverse, opposite, negative	contrary, inhibitory
anxiety	affects mental health, can be managed, negative emotions, can be treated	fear or worry, physical symptoms, interferes with daily life, can be a disability, affects relationships
apartment	neighborhood, parking, amenities, security, size, location	rent, number_of_rooms, distance_from_city_center
apollo	patron of the arts	god of the gods in greek mythology, moon god, sun god, leader of the muses, killed the serpent python, brought forth the muses, protector of the city of troy, son of zeus, hermes' brother
apparatus	machine, means, device, instrument, equipment	tool, facility, contrivance, gadget
appeal	charm, emotional resonance, influence	attractiveness, charisma, persuasiveness, appealing quality, winning qualities, pleasing nature
appearance	skin tone, body shape, eye color, physical attractiveness, height, weight	clothing style, hair style, complexion
appetite	can be affected by health conditions, can be a symptom of certain medical conditions, can be influenced by emotions	desire to eat, sensation of hunger, increases with food intake, decreases with satiety, can be a sign of nutritional deficiency, can be managed through diet and lifestyle
applause	can be loud or soft	expresses approval or appreciation, usually involves clapping hands, may be accompanied by cheering, can be directed towards a person or group, can be a sign of respect, may be used to show solidarity, may be used to break the ice, can be a way to show appreciation for art, may be used in a variety of settings
apple	crunchy, juicy, fruit, red, sweet	eat raw or cooked, has seeds, grow on tree, comes in varieties
apple butter	has a long shelf life when stored properly, made from apples, can be made at home	smooth, creamy texture, sweet and slightly tart flavor, great on toast or muffins, can be used as a spread or in baking, can be flavored with spices or cinnamon, can be made in a food processor or blender
apple juice	made from apples, can be used in cooking, juicy, refreshing, tasty, sweet	comes in different varieties, good for you, can be enjoyed on its own or mixed with other drinks
apple sauce	healthy, comforting, creamy, fruit, juicy, warm, nutritious, sweet	sauce, homemade
apple tree	can be harvested, has branches, has a trunk, produces fruit, produces flowers, requires sunlight, has leaves, requires water	produces apples
applicant	references, work experience, responsibilities, legal rights, address, contact information, education, name	background check, financial information
application	can be installed, can perform tasks, can be used for various purposes	uses software, serves a purpose, can be accessed via multiple devices, can be used by multiple users, can be updated, can be integrated with other applications
application program	can be used for various purposes	runs on computer or mobile device, performs specific tasks or functions, can be installed or downloaded, can be created by user or developer, uses software or programming languages, can be modified or updated, can be distributed or shared, can be integrated with other apps, can be designed with user interface
applied mathematics	calculus, optimization, geometry, statistics, probability, problem-solving	modeling, simulation, linear algebra, discrete mathematics
applied science	interdisciplinary, data-driven, methodical, applicable, experimental, practical, problem-solving, innovative	focused on solutions
appraisal	assessment, rating, opinion, judgment, evaluation, evaluation	estimation, appraisal, valuation
appreciation	thanks, esteem, valuing, admiration, acknowledgment, appreciation, recognition, gratitude, respect	
approach	considerate, methodical, systematic, strategic, thoughtful, efficient, innovative, flexible	careful
