property	cluster_label
determined by railway companies	51
published by airlines	51
have security checks	52
have security cameras	52
have customs offices	52
have communication equipment	52
have security measures	52
has security	52
have cranes	53
has cranes	53
has flint	53
has cranes installed	53
has curators	53
used for illumination	54
used for measuring	54
used in calculating weights	54
precise measurements	54
used in measurements	54
used for separation	54
used for detection	54
used for measurement	54
used in mathematics	55
used for scientific research	55
used for science	55
used in architecture	55
used in data analysis	55
used in labs	55
used in chemistry	55
used in computing	55
used in physics	55
used in technology	55
used in engineering	55
used in science	55
powered by engines	56
more efficient than jets	56
powered by batteries	56
powered by animals	56
faster than diesel	56
powered by electricity	56
fueled by diesel	56
uses no engine	56
electrically powered	56
used for mooring	57
used for anchoring	57
used for plowing	57
used for refueling	57
used for undocking	57
requires anchoring	57
requires mooring	57
used for dredging	57
holds liquid	58
holding something	58
holds liquids	58
transfers information	59
transmits signals	59
uses radio waves	59
transmitted through vectors	59
converts electricity	59
transports oil	59
emits signals	59
used for political pressure	60
have economic importance	60
used for economic growth	60
used for recreational purposes	60
used for business purposes	60
used for economic purposes	60
used for local consumption	60
used for private use	60
used for commercial purposes	60
easy to disassemble	61
easy to assemble	61
used for military	62
used for naval warfare	62
used for amphibious assault	62
used for reconnaissance	62
used in military operations	62
used in disaster relief	62
used in military	62
used for military purposes	62
used as military tactic	62
used for special operations	62
used in wartime	62
used for laying telephone cables	63
used for repairing cables	63
used for maintaining cables	63
used for laying internet cables	63
used for laying telegraph cables	63
used for laying cables	63
had nets	64
have floors	64
have beds	64
have doors	64
have bulbs	64
have seats	64
cools objects	64
have ceilings	64
has chairs	64
have rims	64
have reels	64
have fares	64
have locks	64
have bearings	64
have gates	64
have docks	64
have rods	64
have offices	64
have nets	64
have roofs	64
have walls	64
used for launching planes	65
used for storing planes	65
used for departures	65
used for guiding planes	65
used for landing planes	65
used for landing	65
have water cannons	66
has separate tracks	66
have fire hoses	66
has air conditioning	66
have storage for fish	66
has rail tracks	66
has cargo holds	66
has water tanks	66
has diving equipment	66
has a hopper	66
have fishing gear	66
has ships of various sizes	66
has a dredge	66
has catwalks	66
has sliding doors	66
use jet fuel	67
filled with gas	67
uses wind	67
processes fish	67
carry oil	67
uses combustion	67
uses electricity	67
uses oxidizer	67
uses voltage	67
uses fuel	67
used for traction	68
used for buoyancy	68
used to exert pressure	68
used for flight control	68
used for takeoff	68
used for thrust	68
generate thrust	68
used for lift-off	68
used for propulsion	68
attached to trucks	69
located in rooms	69
last car in train	69
located in cars	69
carry vehicles	69
located in buses	69
powered by outlets	69
located in pockets	69
located in trains	69
located in garages	69
armed with guns	69
located in parking lots	69
located in train yards	69
signed by receivers	69
located in trucks	69
located in fire stations	69
consists of cars	69
located in stations	69
used for high-value goods	70
used for perishable goods	70
non-liquid goods	70
used for refrigerated goods	70
using adhesives	71
using fasteners	71
permanent structure	72
temporary connection	72
official record	72
one way	72
permanent connection	72
small device	72
silent operation	72
provide light	73
requires control	73
requires force	73
requires speed	73
requires lift	73
used for finding coastlines	74
used for studying weather	74
used in weather forecasting	74
used for weather forecasting	74
used for discovering new species	74
used for studying climate	74
used for studying marine life	74
used for aerodynamics	74
used for weather	74
used for weather reports	74
linked to vehicle ownership	75
required for driving	75
required for insurance	75
parasite	76
bacteria	76
virus	76
microorganism	76
fungus	76
measures space	77
describes data	77
measures width	77
equals to 2,000 pounds	78
tracks are 1435 mm wide	78
equals 28.32 liters	78
equal to 2,000 pounds	78
long distances	79
long distance	79
paid by individuals	80
owned by companies	80
owned by individuals	80
amount of money	80
owned by private companies	80
managed by companies	80
works on behalf of company	80
paid by companies	80
contains payment details	81
contains cargo details	81
contains delivery details	81
linked to vehicle details	81
no information available	81
amount is fixed	81
receive payment	81
helping navigation	82
helps with navigation	82
navigated by GPS	82
helps with customs	82
helps with docking	82
monitored for leaks	83
at risk of leaks	83
assists with maintenance	83
assists with fuel	83
assists with cargo	83
assists with repairs	83
negotiates contracts	83
assists with crew	83
collects tolls	83
facilitates transactions	83
inspected regularly	83
carried in bulk	84
carried in containers	84
carried for international trade	84
receivable by aircraft	84
transported by ships	84
carried on ships	84
carries chemicals	84
navigated by ships	84
sail on seas	84
carried in open air	84
carries passengers	84
carried on top of ships	84
by a foreign ship	84
carried by ships	84
includes wheat	85
includes iron ore	85
includes coal	85
includes grains	85
includes minerals	85
includes ores	85
includes oil	85
includes corn	85
has a flat surface	86
has uneven surface	86
has different shapes	86
used for bus	87
used for pedestrians	87
used for trains	87
used for express buses	87
used for train	87
used for railways	87
highway for buses	87
used for buses	87
used for taxi service	87
used for parking	87
used for ferries	87
buses and bus stations	87
used for taxis	87
used in buses	87
used for police	87
used for ambulance	87
used for public transportation	87
has lanes for buses	87
used for arrivals	87
common in developing countries	88
used in UK	88
allowed in some countries	88
applied to countries	88
targeting specific countries	88
used in multiple countries	88
used in some regions	88
has different track widths	89
has different rail sizes	89
has multiple rails	89
carries different gauge trains	89
purposive	90
sturdy	90
deliberate	90
voluntary	90
toxic	90
luxurious	90
electrical	90
luxurious accommodations	90
has compartments	91
have employees	91
have waiting rooms	91
has bathrooms	91
have kitchens	91
have bathrooms	91
have private rooms	91
have restaurants	91
car with engine	92
car with doors	92
car with driver	92
car with brakes	92
car with seats	92
car with lights	92
car with mirrors	92
car with windows	92
car with wheels	92
common in europe	93
common in japan	93
common in ancient times	93
unit of measurement	94
larger than short ton	94
units of tons	94
not equal to metric ton	94
unit of volume	94
units of grams	94
unit of weight	94
units of kilograms	94
built by humans	95
built for safety	95
important for safety	95
built for durability	95
transported with caution	95
providing directions	96
providing information	96
providing orientation	96
providing safety	96
used in marine engineering	97
used for wind turbines	97
used in ship repair	97
used in shipbuilding	97
used in shipyards	97
used for shipbuilding	97
used in naval architecture	97
mechanized equipment	98
mechanical devices	98
mechanical device	98
electronic device	98
mechanical	98
flammable	99
civilian	99
reusable	99
directed	99
moveable	99
intermodal	99
hazardous	99
miniature	99
used for water management	100
used for water conservation	100
used for water flow management	100
used for water level control	100
used for order	101
used for directions	101
used for finding ports	101
used for warnings	101
used for coordination	101
used for parks	101
used for finding landmarks	101
used for orbit	101
used for fog	101
used for exiting	101
used for subways	101
used for planning	101
used for rush hours	101
used for finding directions	101
used for commuter	101
used for check-ins	101
used for guidance	101
used for multiple directions	101
used for waiting	101
used for zoning	101
using forklifts	102
have forklifts	102
managed	103
efficient	103
people	103
commercial	103
drivers	103
document	103
done in trucks	104
done in motorcycles	104
done in bicycles	104
done in cars	104
done in highways	104
done in buses	104
used in appliances	105
used in space	105
used in aviation	105
used in cars	105
used for car	105
used in submarines	105
used in computers	105
used in trucks	105
used in rockets	105
used in vehicles	105
used in airplanes	105
used in phones	105
used in aircraft	105
used in factories	105
used in engines	105
used for aircraft	105
used in pumps	105
used in fans	105
attached to vehicles	105
used in transportation	105
used for cars	105
found in africa	106
longest in China	106
found in europe and asia	106
found in russia	106
found in united states	106
found in china	106
found in north and south america	106
found in india	106
found in living things	107
found in soil	107
found in ponds	107
found in air	107
found in oceans	107
found in lakes	107
found in rivers	107
found in seas	107
found in reservoirs	107
have ropes	108
have distances	108
have frequencies	108
have schedules	108
have lighting	108
have tracks	108
have measurements	108
have maps	108
have paint	108
have routes	108
have immigration	108
have pools	108
have bridges	108
have terminals	108
have windows	108
have anchors	108
have containers	108
have switches	108
have signals	108
have shops	108
have advertisements	108
have instruments	108
have markers	108
used for long distances	109
used for family trips	109
used for road trips	109
used for planning trips	109
used for daily commute	109
used for short trips	109
used for small trips	109
used for daily commutes	109
used for long trips	109
used for city driving	109
used for short distances	109
used for long distance travel	109
long distance travel	109
where canals meet	110
location where tracks meet	110
where rivers meet	110
have buoys	111
marked by buoys	111
have torpedoes	111
involves coordination	112
involves government	112
involves transparency	112
involves responsibility	112
involves penalties	112
involves steps	112
involves enforcement	112
involves inspections	112
involves delegating	112
involves problem solving	112
involves budgeting	112
involves organizing	112
involves leadership	112
involves permits	112
involves decision making	112
involves monitoring	112
involves goals	112
involves compliance	112
involves laws	112
involve communication	112
involves communication	112
involves control	112
involves execution	112
involves resources	112
involves planning	112
involves people	112
involves controlling	112
involves tasks	112
involves rules	112
used for traffic	113
used for traffic management	113
used for train merging	113
used for air traffic control	113
used for traffic control	113
used in traffic monitoring	113
used in traffic	113
used for train splitting	113
has electrification	114
not refrigerated	114
electrified in some cases	114
have controllers	115
have rails	115
move on rails	115
uncovered	116
underground	116
uncontainerized	116
planned	116
produces torque	117
produces thrust	117
produces less emissions	117
have high ground clearance	118
has low speed	118
has high torque	118
flying at high speeds	118
involve radar	118
has high speed	118
used for high speeds	118
used for high speed	118
generate high speed	118
has high power	118
smaller than regular cars	119
replica of real cars	119
smaller than real cars	119
used for monitoring	120
used for security checks	120
requires safety equipment	120
used for testing	120
used for crash testing	120
used for durability testing	120
used for aerodynamics testing	120
used for safety testing	120
used for ergonomics testing	120
located on land	121
located at intersections	121
located near bus stops	121
located near ports	121
done in public roads	121
driven on roads	121
builds roads	121
intersection of roads	121
located on rails	121
located over roads	121
located along roads	121
made of roads	121
has jurisdiction over roads	121
located near tracks	121
located in highways	121
located on railways	121
located on roads	121
located in roads	121
moves on roads	121
has no opposite traffic	122
has no opposite lane	122
used for off road	123
four wheel drive	123
used for off-road	123
causes disease	124
hurts economy	124
hurts businesses	124
hurts citizens	124
supports national economies	124
hurts economies	124
affects trade	125
builds relationships	125
affects industries	125
restricts imports	125
acts on behalf	125
has historical context	126
can be lifted by diplomacy	126
international conflict resolution tool	126
used as diplomatic tool	126
acts as intermediary	126
used in networks	127
used in data transmission	127
public and private modes	127
stops in multiple ports	127
used in data transfer	127
used in information exchange	127
used for transporting	128
used for bulk goods	128
used for moving heavy loads	128
used for transporting goods	128
used for transporting people	128
carry bulk goods	128
used for carrying goods	128
used for crossing rivers	128
efficiently moving goods	128
used for carrying	128
used for exporting goods	128
used for receiving goods	128
uses stars	129
uses roads	129
uses wires	129
uses lights	129
uses trucks	129
charge fees	129
catches fish	129
uses trains	129
using trains	129
uses signs	129
uses planes	129
uses vehicles	129
separates compartments	130
breathes	130
increased efficiency	130
decomposes	130
reduced costs	130
reduces congestion	130
reduces costs	130
receives commissions	130
have check-in counters	131
have baggage claim	131
have baggage claim areas	131
responsible for infrastructure	132
responsible for roads	132
responsible for traffic	132
responsible for public transportation	132
responsible for bike lanes	132
responsible for parking	132
responsible for traffic signs	132
responsible for traffic lights	132
separate from regular traffic	132
traffic offense	132
responsible for public safety	132
waterways	133
blockage of sea routes	133
limits access to ports	133
have waterways	133
oceanic travel	133
used for waterways	133
subways and metro	133
waterways and ports	133
bicycles and bike lanes	133
roads and highways	133
trains and railways	133
network of waterways	133
airports and airlines	133
have parking spots	134
has emergency lights	134
has atmospheric phenomena	134
have traffic lights	134
have stop signs	134
have pedestrian crossings	134
have traffic signals	134
sets traffic rules	134
have traffic rules	134
has red, green, and white lights	134
have navigation aids	134
has refining process	134
have overhead wires	134
has flashing lights	134
has weather patterns	134
has traffic signals	134
has fixed routes	134
has traffic signs	134
has fixed fares	134
have duty-free shops	134
has road markings	134
has expiration dates	134
operates in international waters	135
employs thousands	135
operates in airports	135
connects two areas	135
operate in open seas	135
provides international flights	135
maintains infrastructure	135
grows in nature	135
operates in cities	135
specializes in maritime services	135
located in seaports	135
operates on seas	135
used for deep sea drilling	136
used for oil extraction	136
used for lubrication	136
used for oil rigs	136
used for refineries	136
derived from oil	136
used for gas extraction	136
can cause economic harm	137
can cause shortages	137
can cause inflation	137
can cause humanitarian crisis	137
can be harmed by pollution	137
have colors	138
have roles	138
have lines	138
have budgets	138
defined by rules	138
have suspension	138
have policies	138
have signs	138
have rules	138
have restrictions	138
make decisions	138
have ties	138
regular schedule	138
have customs	138
subject to laws	138
make deals	138
make profits	138
have markings	138
means of movement	139
means of transport	139
action of leaving ground	139
process of joining	139
means of moving	139
have sailors	140
have stations	140
have cabins	140
have departments	140
have flights	140
have decks	140
have entertainment	140
have warehouses	140
require large crews	140
have ministers	140
have departures	140
have crews	140
have arrivals	140
have platforms	140
have stops	140
have laboratories	140
have equipment	140
require pilots	140
had crews	140
unique members	140
have pilots	140
have crew	140
had captains	140
have drivers	140
have scientists	140
have cables	140
regulated by international law	141
regulated by maritime laws	141
have maritime laws	141
requires international law	141
enforced by naval vessels	141
showing routes	142
showing stops	142
showing prices	142
showing flight routes	142
showing frequencies	142
showing vehicles	142
showing layovers	142
showing flight timings	143
showing departure times	143
showing arrival times	143
showing time and date	143
showing flight frequencies	143
showing departure and arrival times	143
showing arrival and departure dates	143
showing flight numbers	143
used for water transportation	144
large cargo capacity	144
used for offshore operations	144
used for cargo handling	144
used for cargo transport	144
used for oil transport	144
designed for ocean travel	144
used for breakbulk cargo	144
used for passenger transport	144
used for freight transport	144
used for international transport	144
used for regional flights	144
used for commuter flights	144
used for cargo	144
used for train transfer	144
type of dredger	144
used for bulk cargo	144
used for rapid transit	144
used in plastics	145
used in perfumes	145
used in cosmetics	145
used for pharmaceuticals	145
used in medicine	145
used for medicine	145
used in medicines	145
used in food	145
varies in temperature	146
varies by country	146
adjusts according to weather	146
varies in pressure	146
maintains low temperatures	146
not selling something	147
not throwing something away	147
holding onto something	147
not giving something away	147
not losing something	147
preservation of something	148
conservation of something	148
retaining something	148
contains ship type	149
contains ship speed	149
contains ship owner	149
contains ship location	149
contains ship details	149
contains ship size	149
used in generators	150
used in databases	150
used in tables	150
used in queries	150
unique to each object	150
used in joins	150
documented in databases	150
using containers	150
used in sorting	151
used in filtering	151
used for categorization	151
used in aggregating	151
used in grouping	151
used for grouping	151
paid for lawsuits	152
paid for crimes	152
paid to lawyers	152
liable for damages	152
paid to courts	152
expensive	153
explosive	153
expensive equipment	153
restriction on exports	154
restriction on imports	154
economic sanction	154
maintenance of possession	154
has menus	155
has supports	155
have lanes	155
has barges	155
has lanes	155
has crew	155
has waiters	155
has pilot	155
has gravel	155
has gates	155
has hoses	155
has water gates	155
has seasons	155
has air currents	155
has captain	155
has no median	155
has tracks	155
has routes	155
has no divider	155
has pedestals	155
has display cases	155
has storage	155
has tables	155
has buses	155
has stops	155
has fuel	155
has crossings	155
has additives	155
has rust	155
has passengers	155
not fully utilized	156
can be shared	156
cannot be copied	156
cannot be broken	156
cannot be moved	156
cannot be touched	156
cannot be seen	156
cannot be shared	156
not allowed in others	156
hidden from view	157
not visible to naked eye	157
invisible to human sight	157
has luggage space	158
has cup holders	158
have cargo space	158
offers in-flight meals	158
has luggage racks	158
